rt_seq_hash	family	n_genomes	n_species	n_genera	n_source_databases	n_physical_loci	unit	denominator
463505f58fd045a1ad477573550383c0267f534c75ebe9cfcaf494cd3577e699	RVT-GII	8060	5	2	3	7913	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
a9af30f605b1b6936d1e90fc46c1fb6a60d4bcd71719af2c990cdd49ff204289	RVT-UG4	8044	3	2	3	6585	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
f54e8d46a23f86cff9516aaf0bbf292395189ec40bfb8d5e9175c104e58f31f6	RVT-GII	8022	5	2	3	7878	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
26c011e2b87062a5c8d3d61ddd10a6982e051fd49f3dd443d2c95ca0e8b86b5e	RVT-GII	7377	2	1	3	5986	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
5309d8dbb44a8464024b3f2f9da2929336a29ca0cc7fbc24319f88af66dc01bc	RVT-GII	7319	7	2	3	7160	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
b5d5eba8c0eb4233454cba690b707690e619567d73f0c1c9cbd72af0e20dd642	RVT-GII	7212	12	8	4	6417	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
625fa9e4ea64398f7a1711ef22f9b5a97d1672b8fd47113417a92ca5b5c87312	RVT-AbiP2	6972	2	1	3	6496	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
dc6c4de1ca4c841e305d950828e1e17d2bcfd7803bd01b3be9cfa3958aa36a3e	RVT-GII	6686	24	9	3	5760	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
6ebfb918a71e988cb88494ffe47665432b4122f5785af61c912c37d2a1f4d20c	RVT-GII	6629	58	23	4	6433	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
459306fd6d5d451bc8f5a1b663376aa4dcb0fb7258b786676557c3939bdf068b	RVT-GII	6141	35	19	4	5371	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
42f39f079c15d7e8cf97558e5d392a527735e679ec18ee610137f1be1d29c0e1	other	5947	9	4	3	6338	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
18c371801573cc95a4429586a9393b1ef73a00e12d3ed9d2147bd48b6163f6d4	RVT-AbiP2	5841	4	3	2	5751	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
3dda740d3dd87156492491a24efcd8949bbd4b0404478cb2cb47bc093db3e568	RVT-GII	5834	6	2	2	5805	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
856c047efbfcec7471342e4b1a267b58368f7eca733eedbf922ab344cad93312	RVT-GII	5825	95	62	4	5845	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
c068a04b358ca936844cf60e099b4937cfaf9b0b8e6983f4f580ab3773d16283	Retron	5779	3	2	3	5254	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
46e8f05c7f7f37a25cd996c1a7d36ca522f599fa2f83b074a9581e005e7c5e7b	RVT-GII	5536	2	1	3	5370	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
6aa30829030d21ab0e0a3ef4db2aca6f7cdf59dfe0f2113f9221a1d1ec8d0beb	Retron	5507	2	1	3	5333	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
9e2a903d3345abd784f09f82a674f80e36343e265a50cdf4ac6f7f7b2c48764a	Retron	5375	7	3	3	4656	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
9a013ee3c3df18f20aa53f33f5803be69b0014ede388a78feb2750e56ac09146	RVT-GII	5281	19	7	5	4517	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
d4621c67540c8ac03dc42800098e15e1e85e75f5062da0418c45fe78afae3c11	RVT-GII	5237	7	3	4	4554	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
e898f5001fbc0a41a57f6a243c633e2048f1d4da3846b19173b8769b014f24c4	RVT-GII	5017	48	17	5	4466	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
16c1501d6c496e73ea0c17803e85973000d633274eb6778f5eb22baa434c6eba	RVT-GII	4921	17	8	3	4529	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
3424cdd5793816ffdf8eebd3a3d563cfee8614d2baa997c338428c35e0b0406f	other	4907	2	1	3	4707	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
6054214d721b66781428bb1c85615d30763f488884b2edc5b0faaf0bb93a867e	Retron	4782	2	1	2	5586	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
484e65a90957df829936a86434c80d016c2a99d7c47e18ea305f06e4b84ca3fb	RVT-GII	4766	12	6	3	5216	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
b5d59e17fd9b63c487dd77dbe3bdec5bcd22f44a256eda4a5085ca46902e98fc	RVT-GII	4606	18	16	3	4370	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
4ab0efa04c61afdec4177695a0774cc6bcbef588939aec2534b2f7f82468a07a	RVT-GII	4482	51	15	4	4376	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
8e691d1ad83152358baa94fc3e9396e292e93fbb85a758bdaf4ccf77f0a483a7	RVT-GII	4437	2	1	3	4135	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
fb54d3f8fa696c0a1e74fdb8e36eb324d9e9588ca15e4609d146339a0ef48c12	Retron	4396	9	6	4	3893	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
8d1495b043e46e2b502f72dc3aab54fec7ee999933ca84dcfa19b1a39ad7f67b	RVT-GII	4346	6	2	3	3955	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
886d0a3a71b79c34f8ce096bea5bc7a48deb90ed587e81508a576cf3189eb477	RVT-GII	4323	17	11	4	3768	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
3adf9aea165a18a9fbe99f7cabf5f4a490e9e23c00323992fbbe820c173c52c6	Retron	4279	2	1	3	4017	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
4e3d8e7df45f3f8ac4f55d243ea3a9d47993ba4d3231788dfebb64a756d09686	RVT-GII	4168	6	2	5	3528	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
670d7238174fc9c68714d4fb4f8da455505e1f86026b03b74229762d304ec4ff	RVT-GII	4141	5	2	3	4111	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
8174d572b012de9b240dd6eebb7067932ea7fe49f8e6634e877c24a33c700769	RVT-GII	4132	5	2	3	4107	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
51c828c2fa7ae268821ad1b18a131e77a12af503b81aac2bc69c1ce4b44a5955	RVT-GII	3983	39	13	3	3504	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
ab33cdde19f3091fee2d3fe019ee0ac7ea92534f31dd58a20e09c7b75b85a503	RVT-GII	3947	2	2	2	3634	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
