metric	recurrence_class	at_least	n_pairs	n_pairs_total	pct	unit	denominator
genomes per pair	one_physical_locus_multiple_database_copies	5	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	10	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	100	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	1000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_database_copies	10000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	1	13	13	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	2	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	5	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	10	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	100	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	1000	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_physical_locus_multiple_records	10000	0	13	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_species_multiple_genomes	1	4452	4452	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_species_multiple_genomes	2	4452	4452	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	one_species_multiple_genomes	5	1461	4452	32.8167	exact pairs	exact pairs of that recurrence class
genomes per pair	one_species_multiple_genomes	10	599	4452	13.4546	exact pairs	exact pairs of that recurrence class
genomes per pair	one_species_multiple_genomes	100	48	4452	1.0782	exact pairs	exact pairs of that recurrence class
genomes per pair	one_species_multiple_genomes	1000	2	4452	0.0449	exact pairs	exact pairs of that recurrence class
genomes per pair	one_species_multiple_genomes	10000	0	4452	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	single_placement	1	12005	12005	100.0	exact pairs	exact pairs of that recurrence class
genomes per pair	single_placement	2	0	12005	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	single_placement	5	0	12005	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	single_placement	10	0	12005	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	single_placement	100	0	12005	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	single_placement	1000	0	12005	0.0	exact pairs	exact pairs of that recurrence class
genomes per pair	single_placement	10000	0	12005	0.0	exact pairs	exact pairs of that recurrence class
species per pair	multiple_species	1	5056	5056	100.0	exact pairs	exact pairs of that recurrence class
species per pair	multiple_species	2	5056	5056	100.0	exact pairs	exact pairs of that recurrence class
species per pair	multiple_species	5	371	5056	7.3378	exact pairs	exact pairs of that recurrence class
species per pair	multiple_species	10	47	5056	0.9296	exact pairs	exact pairs of that recurrence class
species per pair	multiple_species	100	0	5056	0.0	exact pairs	exact pairs of that recurrence class
species per pair	multiple_species	1000	0	5056	0.0	exact pairs	exact pairs of that recurrence class
species per pair	multiple_species	10000	0	5056	0.0	exact pairs	exact pairs of that recurrence class
