family	rt_aa_len	cumulative_pct	n_exact_rt	unit	denominator
MULTI	182	26.9986	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	184	27.5122	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	186	28.0653	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	188	28.7238	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	190	29.2901	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	191	29.593	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	193	30.1198	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	195	30.5149	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	197	31.1076	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	198	31.5685	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	200	32.0295	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	201	32.5431	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	203	33.2016	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	205	33.7284	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	207	34.3079	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	208	34.5845	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	210	35.0981	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	212	35.5591	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	215	36.2307	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	216	36.7049	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	218	37.0868	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	220	37.5741	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	222	38.0745	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	225	38.6145	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	227	39.0491	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	229	39.6154	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	231	40.1554	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	233	40.669	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	235	41.0641	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	237	41.5251	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	239	42.2626	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	240	42.6577	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	242	43.1187	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	244	43.5796	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	246	44.0142	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	249	44.6596	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	252	45.1205	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	254	45.5288	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	258	46.1478	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	261	46.5429	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	265	47.0697	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	268	47.6755	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	271	48.0706	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	274	48.5711	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	277	49.0452	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	280	49.5588	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	283	50.0593	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	286	50.6387	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	289	51.1129	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	292	51.508	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	296	52.0084	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	299	52.5352	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	302	53.0225	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	305	53.5098	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	308	54.0234	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	312	54.5107	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	316	55.1034	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	319	55.5907	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	323	56.078	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	326	56.5389	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	330	56.9999	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	334	57.5925	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	338	58.1588	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	342	58.5539	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	345	59.0412	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	349	59.5812	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	353	60.0553	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	358	60.5558	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	363	61.0167	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	368	61.6094	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	371	62.0572	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	375	62.584	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	380	63.0054	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	385	63.6112	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	389	64.138	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	392	64.5726	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	396	65.0336	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	400	65.5736	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	404	66.0213	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	407	66.6008	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	411	67.1013	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	416	67.5095	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	421	68.089	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	424	68.5632	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	428	69.0768	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	432	69.5772	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	435	70.0645	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	438	70.5123	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	442	71.1576	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	444	71.6976	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	445	72.0795	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	448	72.58	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	453	73.12	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	457	73.5151	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	463	74.0155	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	470	74.5555	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	477	75.0428	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	484	75.4906	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	491	76.0306	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	497	76.531	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	504	77.0183	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	510	77.5451	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	516	77.9929	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	522	78.5197	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	530	79.0333	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	537	79.4943	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	546	80.0079	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	554	80.5347	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	561	80.9957	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	570	81.5225	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	579	82.0361	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	588	82.5365	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	599	83.1292	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	607	83.498	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	618	84.0248	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	627	84.5516	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	638	85.0389	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	649	85.5261	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	661	86.0134	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	673	86.5139	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	686	87.0012	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	704	87.5016	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
