bin_lo	bin_hi	n	detection_model	n_total	unit	denominator
200.0	500.0	4	TypeXIIIC_Mx162	679	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
500.0	1000.0	2	TypeXIIIC_Mx162	679	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
1000.0	2000.0	5	TypeXIIIC_Mx162	679	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
2000.0	5000.0	2	TypeXIIIC_Mx162	679	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
5000.0	10000.0	6	TypeXIIIC_Mx162	679	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-10000.0	-5000.0	6	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-5000.0	-2000.0	14	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-2000.0	-1000.0	13	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-1000.0	-500.0	17	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-500.0	-200.0	33	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-200.0	-100.0	35	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-100.0	-50.0	80	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-50.0	-20.0	190	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-20.0	-5.0	167	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
-5.0	5.0	28	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
1000.0	2000.0	1	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
5000.0	10000.0	1	TypeXIII_Mx65	585	physical loci	CANONICAL physical loci of that model (models with >=200 loci), asymmetric bins over -10..+10 kb
