view_unit	abs_distance_bp	cumulative_pct	n_total	unit	denominator
exact pair	200.0	85.1216	30924	the unit named in view_unit	units with a defined signed distance
exact pair	300.0	86.8807	30924	the unit named in view_unit	units with a defined signed distance
exact pair	500.0	88.5655	30924	the unit named in view_unit	units with a defined signed distance
exact pair	750.0	89.3125	30924	the unit named in view_unit	units with a defined signed distance
exact pair	1000.0	92.8243	30924	the unit named in view_unit	units with a defined signed distance
exact pair	1100.0	96.9732	30924	the unit named in view_unit	units with a defined signed distance
exact pair	1500.0	97.2578	30924	the unit named in view_unit	units with a defined signed distance
exact pair	2000.0	97.4971	30924	the unit named in view_unit	units with a defined signed distance
exact pair	2700.0	97.9563	30924	the unit named in view_unit	units with a defined signed distance
exact pair	3000.0	98.2279	30924	the unit named in view_unit	units with a defined signed distance
exact pair	5000.0	99.4276	30924	the unit named in view_unit	units with a defined signed distance
exact pair	10000.0	100.0	30924	the unit named in view_unit	units with a defined signed distance
