family_A	via_B	family_C	n_testable_positions	n_consistent_within_2	pct_transitively_consistent	median_offset
Retrons	GII	DGRs	128	108	84.4	0
Retrons	GII	CRISPR	188	160	85.1	0
Retrons	GII	UG3	126	97	77.0	0
Retrons	GII	UG5	82	70	85.4	0
Retrons	GII	AbiA	111	99	89.2	0
Retrons	DGRs	GII	125	109	87.2	0
Retrons	DGRs	CRISPR	133	132	99.2	0
Retrons	DGRs	UG3	120	116	96.7	0
Retrons	DGRs	UG5	89	77	86.5	0
Retrons	DGRs	AbiA	124	118	95.2	0
Retrons	CRISPR	GII	186	161	86.6	0
Retrons	CRISPR	DGRs	138	131	94.9	0
Retrons	CRISPR	UG3	156	145	92.9	0
Retrons	CRISPR	UG5	88	72	81.8	0
Retrons	CRISPR	AbiA	183	157	85.8	0
Retrons	UG3	GII	134	95	70.9	0
Retrons	UG3	DGRs	117	116	99.1	0
Retrons	UG3	CRISPR	157	138	87.9	0
Retrons	UG3	UG5	89	79	88.8	0
Retrons	UG3	AbiA	122	114	93.4	0
Retrons	UG5	GII	76	64	84.2	0
Retrons	UG5	DGRs	86	78	90.7	0
Retrons	UG5	CRISPR	82	73	89.0	0
Retrons	UG5	UG3	87	80	92.0	0
Retrons	UG5	AbiA	85	78	91.8	0
Retrons	AbiA	GII	115	100	87.0	0
Retrons	AbiA	DGRs	122	121	99.2	0
Retrons	AbiA	CRISPR	166	158	95.2	0
Retrons	AbiA	UG3	116	114	98.3	0
Retrons	AbiA	UG5	90	73	81.1	0
GII	Retrons	DGRs	130	109	83.8	0
GII	Retrons	CRISPR	189	170	89.9	0
GII	Retrons	UG3	126	98	77.8	0
GII	Retrons	UG5	82	71	86.6	0
GII	Retrons	AbiA	111	100	90.1	0
GII	DGRs	Retrons	120	111	92.5	0
GII	DGRs	CRISPR	187	167	89.3	0
GII	DGRs	UG3	125	104	83.2	0
GII	DGRs	UG5	147	102	69.4	0
GII	DGRs	AbiA	111	93	83.8	0
GII	CRISPR	Retrons	177	169	95.5	0
GII	CRISPR	DGRs	185	169	91.4	0
GII	CRISPR	UG3	154	151	98.1	0
GII	CRISPR	UG5	189	119	63.0	0
GII	CRISPR	AbiA	116	115	99.1	0
GII	UG3	Retrons	119	98	82.4	0
GII	UG3	DGRs	122	103	84.4	0
GII	UG3	CRISPR	155	151	97.4	0
GII	UG3	UG5	102	74	72.5	0
GII	UG3	AbiA	117	114	97.4	0
GII	UG5	Retrons	75	68	90.7	0
GII	UG5	DGRs	127	92	72.4	0
GII	UG5	CRISPR	149	118	79.2	0
GII	UG5	UG3	91	76	83.5	0
