tool_support	n_total	n_eligible	n_ineligible	eligible_fraction	delta_vs_catalogue	flag
1/0/0	452705	323580	129125	0.7148	-0.0217	COMPARABLE
1/1/1	20203	19106	1097	0.9457	+0.2092	HIGHER_THAN_CATALOGUE
1/0/1	13201	11954	1247	0.9055	+0.1691	HIGHER_THAN_CATALOGUE
1/1/0	8997	8807	190	0.9789	+0.2424	HIGHER_THAN_CATALOGUE
0/1/0	3492	3225	267	0.9235	+0.1871	HIGHER_THAN_CATALOGUE
0/0/1	1731	1556	175	0.8989	+0.1624	HIGHER_THAN_CATALOGUE
0/1/1	1232	1153	79	0.9359	+0.1994	HIGHER_THAN_CATALOGUE
ALL_EXACT_RT	501561	369381	132180	0.7365	+0.0000	reference
