modality	retron_type	pair_id	x	y
RT	TypeIA_IIAI	813	1.4771386	-5.626562
RT	TypeIIA3_proteo	814	-2.4830174	-3.337707
RT	TypeIA_IIAI	815	1.2294549	-5.849562
RT	Ec107_like	816	-6.5516877	-13.293811
RT	TypeIIA3_proteo	817	-2.9327652	-4.1271887
RT	TypeIV	818	4.857562	-0.5920583
RT	TypeIV	819	6.103492	1.8159977
RT	TypeIIIA2	820	-1.3256309	-2.8822036
RT	Ec107_like	821	-6.0366344	2.6477458
RT	TypeIB1	822	-0.002199424	-1.0319484
RT	Ec107_like	823	-5.8999434	-12.749825
RT	TypeIIA3_proteo	824	-2.9711137	-4.075821
RT	TypeIB1	825	0.9763988	-0.17759694
RT	TypeIV	826	5.510383	1.1696879
RT	TypeIA_IIAI	827	1.2955104	-5.690349
RT	Ec107_like	828	-5.601559	3.2126813
RT	TypeIB1	829	-0.86719745	-0.12436575
RT	TypeIB2	830	0.95781356	-0.472935
RT	TypeIIIA1	831	-3.5401964	-0.38603035
RT	Ec107_like	832	-5.920295	-13.429479
RT	TypeIIIA3	833	-9.222228	-4.5626574
RT	TypeIA_IIAI	834	0.5031696	-5.602061
RT	Ec107_like	835	-6.0729046	-13.423031
RT	TypeIC1_IC2	836	-2.2049773	0.36956766
RT	Ec107_like	837	-5.9937577	3.0120828
RT	Ec107_like	838	-5.92823	2.971957
RT	TypeIB1	839	1.2060386	-1.4772551
RT	TypeIIIA3	840	-8.334454	-5.35806
RT	TypeIIIA1	841	-4.108054	-0.9047899
RT	Ec107_like	842	-5.885179	-13.466912
RT	TypeIA_IIAI	843	0.63319606	-5.510337
RT	Ec107_like	844	-5.9034133	3.0505254
RT	TypeIV	845	6.059391	1.7789971
RT	TypeIV	846	5.4615564	-0.06560191
RT	Ec107_like	847	-6.170818	1.6484092
RT	TypeIIIA1	848	-4.650619	-1.2973919
RT	TypeIV	849	5.5708127	0.048132874
RT	Ec107_like	850	-5.8830614	3.2271194
RT	TypeIIIA1	851	-4.0222406	-0.56286955
RT	Ec107_like	852	-5.368479	1.761099
RT	TypeIIIA3	853	-8.876726	-4.127467
RT	TypeIIIA3	854	-8.1015005	-5.420696
RT	TypeIA_IIAI	855	1.3637543	-5.7681293
RT	Ec107_like	856	-5.92264	3.0596986
RT	TypeIA_IIAI	857	-0.53453684	-2.9079227
RT	Ec107_like	858	-3.7018845	0.3212067
RT	TypeIV	859	5.1270943	-0.04222125
RT	Ec107_like	860	-2.9765708	1.0210941
RT	TypeIA_IIAI	861	0.7461984	-5.8528953
RT	TypeIIIA1	862	-4.4924536	-1.0308552
RT	TypeIA_IIAI	863	0.7622305	-5.8263106
RT	TypeIV	864	4.9036055	0.30472523
RT	TypeIC1_IC2	865	5.3317122	-3.7175646
RT	TypeIA_IIAI	866	1.1756514	-5.570277
RT	TypeIV	867	5.4182773	-0.088129915
RT	TypeIV	868	4.733415	0.35295728
RT	TypeIC1_IC2	869	5.3294454	-3.6763732
RT	OutgroupA	870	-2.6558304	-8.320653
RT	TypeIIA3_firmi	871	-3.0824466	1.8612424
RT	TypeIIIA1	872	-3.6066158	0.09298243
RT	TypeIC1_IC2	873	-1.8400992	0.41845125
RT	TypeIV	874	5.3517613	0.9218608
RT	TypeIV	875	4.878429	-0.7478016
RT	TypeIIIA3	876	-8.214759	-5.800909
RT	Ec107_like	877	-6.0587583	1.9978846
RT	TypeIB2	878	0.7456296	0.16226031
RT	TypeIIIA3	879	-1.595591	12.821509
RT	TypeIB2	880	0.73642105	-0.019721394
RT	Ec107_like	881	-5.930367	-12.449225
RT	TypeIB1	882	-0.20070636	0.19039515
RT	TypeXIIIB_Ne144	883	-5.6768517	-4.9075074
RT	TypeIV	884	5.965704	1.6888245
RT	TypeIIA3_proteo	885	-2.105187	-3.4518042
RT	TypeIB1	886	0.7586362	-0.9498327
RT	TypeIIA3_firmi	887	-3.4650548	1.851399
RT	TypeIIIA3	888	-8.9875555	-4.7516384
RT	TypeIV	889	4.717547	0.036179032
RT	TypeIA_IIAI	890	0.6031832	-5.8691797
RT	TypeIV	891	4.932641	-0.59555095
RT	TypeIIIA3	892	-8.870164	-4.1465387
RT	TypeIIIA3	893	-8.244233	-5.3132243
RT	TypeIIA3_firmi	894	-3.530534	1.3326074
RT	TypeV	895	5.265393	0.19553238
RT	TypeIIIA3	896	-8.778328	-4.9457507
RT	TypeIIIA1	897	-3.9799469	-0.69975615
RT	TypeIIIA3	898	-4.607787	-1.1164998
RT	Ec107_like	899	-3.318986	-0.09512899
RT	TypeIC1_IC2	900	5.1935644	-4.9356155
RT	TypeIIIA3	901	-8.64401	-4.9949226
RT	TypeIV	902	5.288508	-0.4058641
RT	Ec107_like	903	-6.2885795	1.6737355
RT	TypeIA_IIAI	904	-0.057481598	-5.0767875
RT	TypeIB1	905	0.49866575	0.5092389
RT	TypeIIIA3	906	-9.083489	-4.4132094
RT	TypeIV	907	4.750494	0.33940703
RT	TypeIV	908	5.4883313	-0.0061075874
RT	TypeIIA3_proteo	909	-2.8364074	-4.111166
RT	TypeIIIA3	910	-8.744037	-4.684642
RT	TypeXIIIC_Mx162	911	0.412941	-1.9154752
RT	TypeIIA3_proteo	912	-2.442194	-3.0493042
RT	Ec107_like	913	-6.550138	1.4182686
RT	TypeIV	914	4.965596	0.0717445
RT	TypeIIA3_proteo	915	-2.6472464	-3.4563909
RT	Ec107_like	916	-22.582973	-17.696093
RT	Ec107_like	917	-6.5174007	-13.290376
RT	TypeIV	918	5.3652387	-0.11661586
RT	TypeIV	919	5.696222	-0.11457965
RT	TypeIB1	920	0.0245461	-0.84464467
RT	TypeIIA3_proteo	921	-2.9770553	-4.2382216
RT	TypeIB1	922	0.55956995	0.4443547
RT	TypeIIIA3	923	-8.020156	-5.299403
RT	Ec107_like	924	-6.2068834	-13.319026
RT	Ec107_like	925	-6.1738772	-13.0853405
RT	TypeIIIA3	926	-8.874284	-4.1635075
RT	Ec107_like	927	-5.9273686	-13.5259075
RT	TypeXIII_Mx65	928	-1.3446784	-5.7291794
RT	Ec107_like	929	-6.127637	-13.629501
RT	TypeXIIIB_Ne144	930	-5.6639395	-4.8592796
RT	Ec107_like	931	-6.43682	1.4685677
RT	TypeIIIA1	932	-4.3707643	-0.7152321
RT	TypeIV	933	6.079994	1.7801169
RT	Ec107_like	934	-6.086635	3.2078784
RT	TypeIB1	935	1.003455	-1.2807572
RT	Ec107_like	936	-6.076468	3.051779
RT	TypeIB1	937	0.018716568	0.14005299
RT	OutgroupA	938	-2.5380037	-8.35367
RT	TypeIV	939	-0.026040982	0.23612618
RT	TypeIC1_IC2	940	4.890948	-5.183624
RT	TypeIA_IIAI	941	0.62115705	-5.7053823
RT	TypeIV	942	4.6891403	-0.47152045
RT	TypeIA_IIAI	943	-1.2896386	-2.6024952
RT	TypeIIIA1	944	-4.095665	-0.41754854
RT	TypeIB1	945	0.10288141	-0.49376923
RT	TypeIB1	946	1.31107	-1.4273427
RT	TypeIIA3_firmi	947	-3.581263	1.0997859
RT	TypeV	948	5.358863	0.231438
RT	Ec107_like	949	-5.936121	-13.476713
RT	TypeIV	950	5.332877	-0.13390404
RT	TypeIIIA1	951	-4.288644	-0.6719131
RT	TypeIV	952	6.1015983	1.7994664
RT	TypeIV	953	5.3915634	-0.422829
RT	TypeIIA3_proteo	954	-2.244025	-3.1464772
RT	TypeIIIA1	955	-4.343482	0.08069316
RT	TypeIA_IIAI	956	0.24893984	-5.204104
RT	Ec107_like	957	-6.1823063	-13.555492
RT	TypeIIA3_proteo	958	-1.9832215	-3.6967258
RT	TypeIA_IIAI	959	1.3329486	-5.922234
RT	TypeIIIA1	960	-3.8762126	-0.50254834
RT	TypeIV	961	5.994198	1.7065955
RT	TypeIB2	962	1.1360015	0.09885192
RT	Ec107_like	963	-6.092889	-13.573087
RT	TypeIIIA1	964	-3.2375538	0.007135421
RT	Ec107_like	965	-6.5222855	1.417113
RT	TypeIA_IIAI	966	1.2973396	-5.8458643
RT	TypeIA_IIAI	967	0.18440513	-5.555872
RT	TypeIIIA3	968	-8.1984005	-5.343971
RT	TypeIIA3_firmi	969	-2.9864259	1.8749864
RT	TypeIA_IIAI	970	0.8427551	-5.3759828
RT	TypeIIIA1	971	-4.039823	0.44911918
RT	Ec107_like	972	-5.9683356	3.0608678
RT	Ec107_like	973	-5.9263587	2.8823745
RT	TypeIIIA3	974	-8.560475	-5.4041314
RT	Ec107_like	975	-6.8129053	-13.347105
RT	Ec107_like	976	-5.628261	3.1364067
RT	TypeIC1_IC2	977	-1.8321621	0.4115109
RT	Ec107_like	978	-5.569611	-12.973169
RT	TypeIA_IIAI	979	1.329741	-5.7623224
RT	OutgroupA	980	-2.6692271	-7.732176
RT	TypeIIIA3	981	-8.748637	-5.59249
RT	Ec107_like	982	-5.816842	-12.590723
RT	TypeIV	983	6.0281177	1.7308675
RT	TypeIC1_IC2	984	4.899307	-4.9318924
RT	TypeIC1_IC2	985	5.0583286	-5.203539
RT	Ec107_like	986	-3.812211	-0.30510458
RT	TypeIIA3_proteo	987	-2.4129345	-3.1328647
RT	TypeIIA3_proteo	988	-3.0219567	-4.240058
RT	Ec107_like	989	-6.1717386	-13.64216
RT	OutgroupA	990	-1.450875	-6.9579782
RT	Ec107_like	991	-5.9443526	2.8099709
RT	OutgroupA	992	-2.6370587	-8.186276
RT	TypeIB1	993	-0.21528369	0.14313233
RT	TypeIV	994	5.52535	-0.26014355
RT	TypeIIIA3	995	-9.228566	-4.481098
RT	TypeIB2	996	1.0615932	-0.4169228
RT	TypeIV	997	5.6500845	1.390894
RT	TypeIIIA3	998	-8.053478	-5.194808
RT	TypeIIA3_proteo	999	-2.4321363	-3.3419755
RT	TypeIV	1000	4.7555943	-0.20313476
RT	TypeIIIA1	1001	-4.029182	0.5112778
RT	Ec107_like	1002	-6.6430864	-13.43057
RT	OutgroupA	1003	-2.4839187	-8.1985655
RT	TypeIIIA3	1004	-9.197423	-4.599439
RT	TypeIV	1005	6.1607146	1.8584715
RT	Ec107_like	1006	-5.9446087	-13.47533
RT	TypeIIIA1	1007	-4.300581	-0.81620306
RT	TypeIIIA1	1008	-3.3156376	1.8831066
RT	TypeIX	1009	2.193422	-1.0714227
RT	Ec107_like	1010	-6.559122	1.5237749
RT	TypeIB1	1011	0.5561612	0.44208142
RT	TypeIIIA2	1012	-1.4100028	-2.6305974
RT	TypeIIA3_firmi	1013	-3.2493224	1.62947
RT	TypeIIIA3	1014	-8.0576725	-5.7401843
RT	TypeIC1_IC2	1015	5.29913	-4.0138073
RT	Ec107_like	1016	-5.9976916	-13.562216
RT	TypeIIIA1	1017	-4.1742063	-0.10331989
RT	TypeIC1_IC2	1018	5.2142453	-4.34569
RT	TypeIC1_IC2	1019	5.322203	-3.7472596
RT	TypeIV	1020	5.687892	0.1202546
RT	TypeIIIA3	1021	-8.368396	-5.461567
RT	Ec107_like	1022	-6.117187	2.5038073
RT	Ec107_like	1023	-6.1351833	2.3339643
RT	TypeIV	1024	4.6806617	0.68437
RT	TypeIV	1025	4.8225307	0.064192794
RT	TypeIV	1026	4.6811	0.5461066
RT	TypeIV	1027	4.8015823	0.15652281
RT	TypeIV	1028	4.9720616	0.57051885
RT	TypeIIA3_proteo	1029	-2.7527196	-3.5499427
RT	OutgroupA	1030	-1.6055677	-7.3264503
RT	OutgroupA	1031	-1.670769	-7.930844
RT	Ec107_like	1032	-6.7130857	-13.440633
RT	OutgroupA	1033	-2.8025596	-8.328773
RT	TypeIA_IIAI	1034	1.4946902	-5.897238
RT	Ec107_like	1035	-6.6704965	-13.432977
RT	TypeIV	1036	5.2752485	0.6321917
RT	TypeIB2	1037	0.9662193	-0.03837011
RT	TypeIA_IIAI	1038	1.2100645	-5.6989636
RT	TypeIIA3_firmi	1039	-3.4030924	1.7852691
RT	OutgroupA	1040	-1.4808604	-7.1196346
RT	Ec107_like	1041	-6.8380823	-13.30995
RT	TypeIIA3_firmi	1042	-3.4190724	1.831798
RT	TypeIIIA3	1043	-9.045452	-4.184439
RT	TypeIIIA1	1044	-2.820007	-0.14721234
RT	TypeIIA3_proteo	1045	-4.3728013	-0.4105548
RT	Ec107_like	1046	-5.853227	-12.772187
RT	Ec107_like	1047	-6.1415443	-13.676671
RT	TypeIIA3_firmi	1048	-3.2752588	1.8741605
RT	TypeIIA3_firmi	1049	-3.4711914	1.8304497
RT	Ec107_like	1050	-5.850682	-12.810329
RT	TypeIA_IIAI	1051	1.0858504	-4.8822
RT	TypeIV	1052	5.2315993	-0.18715517
RT	TypeIA_IIAI	1053	1.5608929	-5.4325795
RT	TypeIIA3_firmi	1054	-3.244624	1.7496072
RT	TypeIB1	1055	0.8943263	-0.40015033
RT	TypeIA_IIAI	1056	-0.2198743	-5.213317
RT	Ec107_like	1057	-6.4947705	1.4407581
RT	TypeIB2	1058	1.0799233	-0.419333
RT	Ec107_like	1059	-5.9898386	3.0110486
RT	TypeIV	1060	4.7360096	0.7528619
RT	TypeIIIA3	1061	-8.939559	-4.136575
RT	TypeIIIA1	1062	-4.6846004	-0.9867602
RT	Ec107_like	1063	-5.9886804	1.8977174
RT	TypeIIIA3	1064	-8.90169	-4.1901793
RT	TypeIIIA3	1065	-8.155518	-5.4857926
RT	TypeIC1_IC2	1066	4.857519	-4.9467845
RT	TypeIC1_IC2	1067	5.2676973	-3.8127291
RT	OutgroupA	1068	-1.7585158	-7.851743
RT	TypeIV	1069	5.748848	1.4951624
RT	TypeIIA3_firmi	1070	-3.4396932	1.7930748
RT	TypeIA_IIAI	1071	0.5869682	-5.822711
RT	TypeIV	1072	4.885222	-0.63622737
RT	OutgroupA	1073	-0.81642056	-4.7444453
RT	TypeIC1_IC2	1074	5.133702	-5.1962223
