rt50	type_label_modal	type_labels	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	matched_local	matched_t1	unmatched_adequate	unmatched_limited	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	cm_models	padloc_xii_loci	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
3600709797e8200eb667f8a7c6ced04d82f2742d839a97a6bddda2ef53492994	XII	XII	404	69	23	17.6	404	64	12	3	ncbi_bacteria|gem|mgnify_human_gut|mgnify_marine|gtdb_bacteria	0	0	370	34	0	0	23		401.0	False	True
e85a86deb9c27d67d55a48ceada6e4702eeaa1ed0a6edba9799e40977bcea34c	X	X|UNLABELLED	120	51	24	5.0	120	25	13	2	ncbi_bacteria|gem|gtdb_bacteria|mgnify_marine	0	0	103	17	0	19	0		0.0	True	False
18ae9eb0364b903d6703809c5ab2777b8476a117132efcea364528cab93cf0d3	II-A	UNLABELLED|II-A	190	77	22	8.6	189	57	37	4	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|gem	0	0	179	11	0	22	0		0.0	True	False
24525d15b2757384ca22cded05bbcb5d4ebc9431dba9c0c2f39be5750bcf8064	II-A	II-A|UNLABELLED	114	36	24	4.8	114	53	23	2	ncbi_bacteria|gtdb_bacteria	0	0	111	3	0	22	0		0.0	True	False
4cd722db2d5dc24f6f0ebc4dad00e6cf7e62c848db3db23e7264219ac7cbfdee	UNLABELLED	VI|UNLABELLED	86	37	23	3.7	86	47	18	2	ncbi_bacteria|gem|gtdb_bacteria	0	0	85	1	0	12	0		0.0	True	False
0910fe5268a5b4d7b7c3d465e24d7bf3fbc5a43837f5aab1062a89139d1b54f9	II-A	II-A|UNLABELLED	89	33	25	3.6	89	55	37	2	gem|gtdb_bacteria|ncbi_bacteria|mgnify_marine	0	0	83	6	0	16	0		0.0	True	False
caa7c9e4c6c5871cf279559a25406aee4d6eb2c4d615c6b6c054440db66a87a6	XII	XII	27	23	22	1.2	25	9	7	2	ncbi_bacteria|gem|gtdb_bacteria	0	0	25	2	0	0	21		0.0	False	True
5251ce2c53229cf2cae48f245098e95bc9682133aca825bb6ff3303ae2e4b16c	V	V|UNLABELLED	199	35	21	9.5	199	50	14	2	gtdb_bacteria|gem|ncbi_bacteria	0	0	199	0	0	17	0		0.0	True	False
6c251fd417dab9ec8c49ae2b7602cace3c06a38ab0df89e742d93d832f1da083	XII	I-C|UNLABELLED|XII	37	24	22	1.7	35	31	23	3	ncbi_bacteria|mgnify_soil|gem|gtdb_bacteria	0	0	36	1	0	0	18		0.0	False	True
e376b6d9ba9c4d5d9c07ad970762e7c809cfcad71e37fb782e30e8154afa8e8d	XI	XI|UNLABELLED	41	24	22	1.9	41	17	10	2	ncbi_archaea|gtdb_bacteria|ncbi_bacteria|gem	0	0	39	2	0	0	18		0.0	False	True
7b07aec0295f312f6bcf8584f2d3136f1a39e2e36bfc61e14ab0408ce715f079	VI	UNLABELLED|VI	28	22	21	1.3	28	16	14	2	ncbi_bacteria|gem|mgnify_soil|gtdb_bacteria	0	0	27	1	0	10	0		0.0	True	False
66e24707907a23defbefb67ce9cae3130b760eddeaf250768f8a2fa4fcadca8f	I-C	I-C|XII	30	21	21	1.4	30	18	16	3	ncbi_bacteria|gem|gtdb_bacteria	0	0	29	1	0	0	20		24.0	False	True
288bf8219e32456112cbf9b923cc302a156f59603cc793edd6f81fd16bf5f398	I-C	XII|UNLABELLED|I-C	32	28	20	1.6	32	19	12	2	gem|gtdb_bacteria|ncbi_bacteria	0	0	32	0	0	0	17		0.0	False	True
9ecf93d427e7fad60dee96c11881fbdb30cd26197b9ef204c22e41822c86c159	VI	VI|UNLABELLED	38	24	22	1.7	38	26	14	2	ncbi_bacteria|mgnify_soil|gtdb_bacteria	0	0	33	5	0	15	0		0.0	True	False
04f0d77a9399927e8c5cc80a4f2371092be4da9876e626d197a46286983a7ee2	VI	UNLABELLED|VI|I-A	50	25	20	2.5	50	29	15	2	gtdb_bacteria|ncbi_bacteria|gem	0	0	49	1	0	14	0		0.0	True	False
47b350fc1a122d62f36551d0b4966125dc718e69f3654b9f54727fc9a02cef24	XII	XII	458	32	24	19.1	457	37	14	2	ncbi_bacteria|gtdb_bacteria|gem|mgnify_human_gut	0	0	448	10	0	0	20		0.0	False	True
5bdb955873470d2d7993691b45c68524bbc97791a801d5d83102b75afd7e91c5	VI	VI|UNLABELLED	60	32	20	3.0	60	46	28	2	gtdb_bacteria|gem|mgnify_soil|mgnify_marine|ncbi_bacteria	0	0	58	2	0	15	0		0.0	True	False
2e7002ca6e569a4e2e25a2d6beeaced726dd58cae5d9d3dccc92db4448a36fe7	UNLABELLED	VI|UNLABELLED|VII-A2	62	42	21	3.0	62	35	15	3	gem|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	0	0	57	5	0	9	0		0.0	True	False
c4a66e784a9ee17447963caaf06aa5382bcad64b14dc5e4941783edb98740bf4	III-A	UNLABELLED|III-A	107	26	21	5.1	107	35	21	3	ncbi_bacteria|gem|mgnify_human_gut|gtdb_bacteria	0	0	101	6	0	20	0		0.0	True	False
