check	observed	expected	reproduced	z6_sha256	z6_commit
loci	630741.0	630741	True	92dc8f2af4cc8b2f5f801714abbb2bc045238d8fe64d3ac3a89584f4eb7f1f4c	12ea561a5565aca29eeaacbfe8863dc244838fa3
n_matched	332769.0	332769	True	92dc8f2af4cc8b2f5f801714abbb2bc045238d8fe64d3ac3a89584f4eb7f1f4c	12ea561a5565aca29eeaacbfe8863dc244838fa3
n_unmatched	297972.0	297972	True	92dc8f2af4cc8b2f5f801714abbb2bc045238d8fe64d3ac3a89584f4eb7f1f4c	12ea561a5565aca29eeaacbfe8863dc244838fa3
exact_rt	76381.0	76381	True	92dc8f2af4cc8b2f5f801714abbb2bc045238d8fe64d3ac3a89584f4eb7f1f4c	12ea561a5565aca29eeaacbfe8863dc244838fa3
exact_rt_matched	28838.0	28838	True	92dc8f2af4cc8b2f5f801714abbb2bc045238d8fe64d3ac3a89584f4eb7f1f4c	12ea561a5565aca29eeaacbfe8863dc244838fa3
