rt50	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	type_labels	type_label_modal	cm_models	matched_local	matched_t1	unmatched_adequate	unmatched_limited	unusable	rt90_pos_pool	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	rt90_unmatched_any	padloc_xii_loci	any_matched	POS_FEASIBLE	MIXED	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
1998c943bff93b88daf4a066bafdb5a64dd0b93905d7ffdd7c077700882293da	4773	449	11	433.9	4764	144	37	4	mgnify_marine|ncbi_bacteria|gem|mgnify_soil|gtdb_bacteria|mgnify_human_gut	UNLABELLED|I-A|VI	VI	TypeIB2	0	1	4630	142	0	0	0	11	0	11	0.0	True	False	False	False	False
186dceba21899f7bc677c3b507f221a405d0ab8db7f6776d4b51d968e2bc7fbf	4462	263	40	111.6	4309	155	39	4	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	I-A|UNLABELLED	I-A	TypeIA_IIAI	4315	0	5	142	0	38	38	4	0	4	0.0	True	True	True	False	False
5785d2e1f04c445bc9b555d632d78dea91e15faad325493e00817d3a621bddf2	4242	306	30	141.4	4239	92	18	3	gem|mgnify_human_gut|gtdb_bacteria|ncbi_bacteria	IX|I-A|UNLABELLED|VII-A2	UNLABELLED		0	0	4047	195	0	0	0	4	0	29	0.0	False	False	False	False	False
260ee34e6e650dab738f4a7a042ddc739aded88bee35802447bfcdf745884995	4142	171	4	1035.5	4142	6	3	2	gtdb_bacteria|ncbi_bacteria	III-A	III-A		0	0	4000	142	0	0	0	4	0	4	0.0	False	False	False	False	False
0fe9bb721d3e8be604719a9ba3d2929922ea2f89b9bebc384efbcd13bb719e33	4089	93	10	408.9	3602	87	23	3	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	UNLABELLED|VII-A2|II-A	II-A	TypeIA_IIAI	0	3790	217	82	0	0	0	3	0	3	0.0	True	False	False	False	False
10e640a14b669f3468a05201de5952884b709c4e2b90decc1f17baa23ce6f4f4	3300	193	33	100.0	3284	136	30	3	gtdb_bacteria|mgnify_human_gut|ncbi_bacteria|mgnify_marine	I-B|UNLABELLED|VII-A2|V	I-B	TypeIB2	580	1	2597	122	0	25	25	9	0	9	0.0	True	True	True	False	False
d776adfee8d594e1e25598fcf5477e8b2d62c507ebb2404a6c6dc38cc2144ab9	3135	266	39	80.4	3131	76	18	2	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|gem	IX|UNLABELLED	UNLABELLED		0	0	3061	74	0	0	0	3	0	37	0.0	False	False	False	False	False
3a590994524deedf255958a51e3a5b2faf1757d2a05131648b3f70d0cc3c3387	2995	65	4	748.8	2795	17	10	3	mgnify_human_gut|gem|gtdb_bacteria|ncbi_bacteria	I-B|UNLABELLED	I-B		0	0	2973	22	0	0	0	4	0	4	0.0	False	False	False	False	False
65b54bba19b59ab34a6815bee4c2d56b975e5c11507d5109511896120e7ad5a3	2979	147	17	175.2	2973	28	14	2	ncbi_bacteria|gem|gtdb_bacteria|mgnify_human_gut	UNLABELLED|I-A	UNLABELLED	TypeIIIA2	852	0	2092	35	0	0	0	0	0	14	0.0	True	False	False	False	False
09c19c449b3724b5afc80ba79f12ef95776a7d03e628403ca1959c478ab55b32	2864	132	11	260.4	2861	58	18	5	ncbi_bacteria|mgnify_human_gut|gtdb_bacteria	UNLABELLED|IV|I-A	IV	TypeIV	2861	0	1	2	0	11	11	1	0	1	0.0	True	True	False	False	False
836a2fc62058adb38426ee3ff04465d0b7738eff1181830d13679471b59f67bc	2856	429	52	54.9	2842	57	24	4	mgnify_human_gut|gem|gtdb_bacteria|ncbi_bacteria	I-B|UNLABELLED|I-A	UNLABELLED	Ec107_like	2752	2	69	33	0	7	7	1	0	15	0.0	True	True	False	False	False
9b14175c66da6946b3508c57335dbcadd5fe55a19d3f009a8232fdce7e952a47	2798	323	41	68.2	2787	26	13	3	ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	UNLABELLED|I-B|II-A|VI	UNLABELLED	TypeIA_IIAI	0	799	8	1991	0	0	0	3	0	4	0.0	True	False	False	False	False
3124a83eed341d7329e549fc89d3b1ef644230915ba9e2e43af1e372edc9770f	2763	525	159	17.4	2723	391	91	4	mgnify_soil|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|gem|mgnify_marine	I-C	I-C	TypeIC1_IC2	2703	9	23	28	0	139	0	0	8	8	3.0	True	True	False	False	False
a1f695e6a5d53fe94c3031531e12a15a234ea1ab4dd2ec4b207340f5c25d3785	2725	36	10	272.5	2725	44	13	3	mgnify_marine|mgnify_human_gut|gtdb_bacteria|ncbi_bacteria	VI|UNLABELLED	VI		0	0	2709	16	0	0	0	6	0	8	0.0	False	False	False	True	False
322c7c218ee819dde2c9dc93b919ae1c19b339e0e4412f8209897ab0b0434487	2643	481	10	264.3	2613	61	2	2	gtdb_bacteria|mgnify_soil|ncbi_bacteria|gem	UNLABELLED	UNLABELLED	OutgroupA	2639	0	4	0	0	0	0	0	0	1	0.0	True	False	False	False	False
252d3ea9cf1c984b725fa2142eadf2ed339b76c304d33dac865ba1c888e7e785	2577	300	108	23.9	2566	235	102	9	mgnify_human_gut|gtdb_bacteria|mgnify_soil|ncbi_bacteria|mgnify_marine|gem	III-A|V|UNLABELLED	III-A	Ec107_like|TypeIIA3_proteo|TypeIIIA1	498	0	1995	84	0	53	53	43	0	47	0.0	True	True	True	False	False
2a6de2a0fbf5f7bff09d6eb7bb61c6eb4f155f5cbe1189999956fbc072e75c92	2540	114	24	105.8	2540	102	23	4	ncbi_bacteria|mgnify_soil|gem|mgnify_human_gut|mgnify_marine|gtdb_bacteria	V|II-A|UNLABELLED	II-A	TypeIA_IIAI	0	823	1514	203	0	0	0	20	0	20	0.0	True	False	False	False	False
c3c41dfe14f1d01bc33d06d7c47f3291414d9418d5d7cd5f52b59128a2cb987b	2348	323	139	16.9	2263	325	75	3	mgnify_soil|gem|mgnify_marine|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	I-A|V|IV|UNLABELLED	IV	TypeIV	2270	0	59	19	0	121	121	10	0	10	0.0	True	True	True	False	False
c474dfdb56d70a1a659c21dc517a5090b8731d206305fda93d928f8042fe1edd	2291	165	27	84.9	2280	134	32	4	ncbi_bacteria|mgnify_soil|mgnify_human_gut|gem|gtdb_bacteria	UNLABELLED|XII	XII	TypeIIIA3	0	2	2171	118	0	0	0	0	27	27	2261.0	True	False	False	False	False
f3fb4c37a2cb86db1e3cbd7f7d5f3245a22f0597e0b130b59d66abec6d472ee3	2022	173	37	54.6	2022	137	32	4	ncbi_bacteria|mgnify_marine|gtdb_bacteria|gem|mgnify_human_gut	V|I-A|IV|UNLABELLED	IV	TypeIV	2002	1	3	16	0	33	33	2	0	2	0.0	True	True	False	False	False
290c9fea04d686e3b9e19392836e291db3d4f8c90b340f2926d60fe8c0766c1b	2006	144	14	143.3	2004	100	26	4	ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|gem|mgnify_marine	UNLABELLED|I-A	I-A	TypeIA_IIAI	1891	4	1	110	0	13	13	1	0	1	0.0	True	True	False	False	False
5c41ff6befc6d980a56a0d2dbbf1f75bd715bb7620fd82abc3bae790b6973d82	1951	452	94	20.8	1926	166	45	4	gem|mgnify_soil|ncbi_bacteria|mgnify_human_gut|gtdb_bacteria	UNLABELLED|VII-A2	UNLABELLED	Ec107_like	1735	2	148	66	0	1	1	0	0	15	0.0	True	False	False	False	False
9800c5bc7b840a744a710ad75f5be995b51dd5cb67b77a4f9c226342726e7206	1913	195	31	61.7	1901	112	35	5	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|gem	UNLABELLED|VII-A2	UNLABELLED		0	0	1765	148	0	0	0	1	0	28	0.0	False	False	False	False	False
462b4a4f2d3dc828ef10920fcf3c3c2cacd5bf005dfb16c7d65e536bef3b5a16	1720	179	75	22.9	1543	194	87	10	mgnify_soil|ncbi_bacteria|mgnify_marine|gtdb_bacteria|gem|mgnify_human_gut	I-A|UNLABELLED|VII-A2|III-A	III-A		0	0	1563	157	0	0	0	69	0	71	0.0	False	False	False	True	False
4deaafe66612f533c0b99dcbc2af7aa98a56a0b4a4dba1660bfe7eb54728e029	1686	95	9	187.3	1671	82	20	3	gtdb_bacteria|mgnify_human_gut|ncbi_bacteria	IV|I-A|II-A|UNLABELLED|III-A	III-A	TypeIIIA3	955	0	695	36	0	7	7	9	0	9	0.0	True	True	True	False	False
eff6f48450d20f9899b8b01650480e4899384c84e9a899f1d18794b190fd58e3	1683	12	1	1683.0	1681	2	1	2	ncbi_bacteria|gtdb_bacteria	UNLABELLED	UNLABELLED		0	0	91	1592	0	0	0	0	0	1	0.0	False	False	False	False	False
6695a2b7fb9f69aa30a7124c7c5205ac2a6dea947acb7a156c2c25606c489949	1660	265	101	16.4	1653	341	128	5	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|mgnify_marine|gem	UNLABELLED|VII-A2|VI|I-A	VI		0	0	1627	33	0	0	0	84	0	94	0.0	False	False	False	True	False
b1c7e5186b2e2f73a8e51d3455a1d214114fee29d0eef4356620d75dd2907305	1440	82	12	120.0	1395	55	21	4	mgnify_soil|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut|gem	UNLABELLED|II-A	II-A		0	0	1387	53	0	0	0	12	0	12	0.0	False	False	False	True	False
