clade	reference_sequences	independent_85pct_groups	withheld_placements	confident_correct	confident_wrong	ambiguous	outside	unable	confident_correct_rate	underpowered
1	333	331	155	139	0	15	1	0	0.8968	False
2	86	84	39	35	0	2	2	0	0.8974	False
3	275	271	140	119	0	10	11	0	0.85	False
4	15	15	9	8	0	0	1	0	0.8889	False
5	3	3	1	1	0	0	0	0	1.0	True
6	5	5	4	1	0	3	0	0	0.25	False
7	34	34	14	11	0	3	0	0	0.7857	False
8	293	288	157	141	0	6	10	0	0.8981	False
9	270	270	136	122	0	10	4	0	0.8971	False
10	72	68	41	39	0	2	0	0	0.9512	False
11	99	99	50	45	0	1	4	0	0.9	False
Orphan	1	1	0	0	0	0	0	0		True
