source_file	population	system_types_raw	type_set_normalised	n_tokens	multilabel	n_records
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG12"]	RVT-CRISPR/RVT-GII/RVT-UG12	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG17"]	RVT-CRISPR/RVT-GII/RVT-UG17	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG19"]	RVT-CRISPR/RVT-GII/RVT-UG19	3	True	25
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG2"]	RVT-CRISPR/RVT-GII/RVT-UG2	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG21"]	RVT-CRISPR/RVT-GII/RVT-UG21	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG23"]	RVT-CRISPR/RVT-GII/RVT-UG23	3	True	7
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG25"]	RVT-CRISPR/RVT-GII/RVT-UG25	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG26"]	RVT-CRISPR/RVT-GII/RVT-UG26	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG28"]	RVT-CRISPR/RVT-GII/RVT-UG28	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG28b"]	RVT-CRISPR/RVT-GII/RVT-UG28b	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG4"]	RVT-CRISPR/RVT-GII/RVT-UG4	3	True	8
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-GII/RVT-UG7"]	RVT-CRISPR/RVT-GII/RVT-UG7	3	True	6
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG10"]	RVT-CRISPR/RVT-UG10	2	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG10/RVT-UG19"]	RVT-CRISPR/RVT-UG10/RVT-UG19	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG11/RVT-AbiP2"]	RVT-AbiP2/RVT-CRISPR/RVT-UG11	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG11/RVT-UG26"]	RVT-CRISPR/RVT-UG11/RVT-UG26	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG12/RVT-UG10"]	RVT-CRISPR/RVT-UG10/RVT-UG12	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG13/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG13	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG17"]	RVT-CRISPR/RVT-UG17	2	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG19"]	RVT-CRISPR/RVT-UG19	2	True	14
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG19/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-UG19	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG19/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG19	3	True	8
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG19/RVT-UG2"]	RVT-CRISPR/RVT-UG19/RVT-UG2	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG19/RVT-UG21"]	RVT-CRISPR/RVT-UG19/RVT-UG21	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG19/RVT-UG26"]	RVT-CRISPR/RVT-UG19/RVT-UG26	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG2"]	RVT-CRISPR/RVT-UG2	2	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG2/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-UG2	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG2/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG2	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG22/RVT-UG21"]	RVT-CRISPR/RVT-UG21/RVT-UG22	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG23"]	RVT-CRISPR/RVT-UG23	2	True	9
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG23/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-UG23	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG23/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG23	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG23/RVT-UG4"]	RVT-CRISPR/RVT-UG23/RVT-UG4	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG23/RVT-UG7"]	RVT-CRISPR/RVT-UG23/RVT-UG7	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG25/RVT-UG26"]	RVT-CRISPR/RVT-UG25/RVT-UG26	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG26"]	RVT-CRISPR/RVT-UG26	2	True	10
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG26/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-UG26	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG26/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG26	3	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG26/RVT-UG28"]	RVT-CRISPR/RVT-UG26/RVT-UG28	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG26/RVT-UG3"]	RVT-CRISPR/RVT-UG26/RVT-UG3	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG26/RVT-UG7"]	RVT-CRISPR/RVT-UG26/RVT-UG7	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28"]	RVT-CRISPR/RVT-UG28	2	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-UG28	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG28	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28/RVT-UG12"]	RVT-CRISPR/RVT-UG12/RVT-UG28	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28/RVT-UG26"]	RVT-CRISPR/RVT-UG26/RVT-UG28	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28b"]	RVT-CRISPR/RVT-UG28b	2	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28b/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-UG28b	3	True	11
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28b/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG28b	3	True	6
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG28b/RVT-UG2"]	RVT-CRISPR/RVT-UG2/RVT-UG28b	3	True	7
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG3"]	RVT-CRISPR/RVT-UG3	2	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG3/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG3	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG3/RVT-UG26"]	RVT-CRISPR/RVT-UG26/RVT-UG3	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG4"]	RVT-CRISPR/RVT-UG4	2	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG4/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-UG4	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG4/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG4	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG7"]	RVT-CRISPR/RVT-UG7	2	True	3
