population	path	schema_documented	n_records_with_path	n_parsed_records_in_population	n_occurrences	n_null_occurrences	observed_types
POP-RT-FAM	anchor_center	True	3050688	3050688	3050688	0	int:3050688
POP-RT-MULTI	anchor_center	True	9012	9012	9012	0	int:9012
POP-NCRNA	anchor_center	True	298482	298482	298482	0	int:298482
POP-OTHER	anchor_center	True	0	0	0	0	
POP-RT-FAM	anchor_end	True	3050688	3050688	3050688	0	int:3050688
POP-RT-MULTI	anchor_end	True	9012	9012	9012	0	int:9012
POP-NCRNA	anchor_end	True	298482	298482	298482	0	int:298482
POP-OTHER	anchor_end	True	0	0	0	0	
POP-RT-FAM	anchor_gene_id	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	anchor_gene_id	True	9012	9012	9012	0	str:9012
POP-NCRNA	anchor_gene_id	True	298482	298482	298482	298482	null:298482
POP-OTHER	anchor_gene_id	True	0	0	0	0	
POP-RT-FAM	anchor_start	True	3050688	3050688	3050688	0	int:3050688
POP-RT-MULTI	anchor_start	True	9012	9012	9012	0	int:9012
POP-NCRNA	anchor_start	True	298482	298482	298482	0	int:298482
POP-OTHER	anchor_start	True	0	0	0	0	
POP-RT-FAM	anchor_strand	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	anchor_strand	True	9012	9012	9012	0	str:9012
POP-NCRNA	anchor_strand	True	298482	298482	298482	0	str:298482
POP-OTHER	anchor_strand	True	0	0	0	0	
POP-RT-FAM	anchor_type	True	3050688	3050688	3050688	0	str:3050688
POP-RT-MULTI	anchor_type	True	9012	9012	9012	0	str:9012
POP-NCRNA	anchor_type	True	298482	298482	298482	0	str:298482
POP-OTHER	anchor_type	True	0	0	0	0	
POP-RT-FAM	cds_annotations	True	3050688	3050688	3050688	0	list:3050688
POP-RT-MULTI	cds_annotations	True	9012	9012	9012	0	list:9012
POP-NCRNA	cds_annotations	True	298482	298482	298482	0	list:298482
POP-OTHER	cds_annotations	True	0	0	0	0	
POP-RT-FAM	cds_annotations[].contig	True	3046988	3050688	44242429	0	str:44242429
POP-RT-MULTI	cds_annotations[].contig	True	8748	9012	67802	0	str:67802
POP-NCRNA	cds_annotations[].contig	True	298189	298482	4438214	0	str:4438214
POP-OTHER	cds_annotations[].contig	True	0	0	0	0	
POP-RT-FAM	cds_annotations[].end	True	3046988	3050688	44242429	0	int:44242429
POP-RT-MULTI	cds_annotations[].end	True	8748	9012	67802	0	int:67802
POP-NCRNA	cds_annotations[].end	True	298189	298482	4438214	0	int:4438214
POP-OTHER	cds_annotations[].end	True	0	0	0	0	
POP-RT-FAM	cds_annotations[].gene_id	True	3046988	3050688	44242429	0	str:44242429
POP-RT-MULTI	cds_annotations[].gene_id	True	8748	9012	67802	0	str:67802
POP-NCRNA	cds_annotations[].gene_id	True	298189	298482	4438214	0	str:4438214
POP-OTHER	cds_annotations[].gene_id	True	0	0	0	0	
POP-RT-FAM	cds_annotations[].is_rt_gene	True	3046988	3050688	44242429	0	bool:44242429
POP-RT-MULTI	cds_annotations[].is_rt_gene	True	8748	9012	67802	0	bool:67802
POP-NCRNA	cds_annotations[].is_rt_gene	True	298189	298482	4438214	0	bool:4438214
POP-OTHER	cds_annotations[].is_rt_gene	True	0	0	0	0	
POP-RT-FAM	cds_annotations[].length	True	3046988	3050688	44242429	0	int:44242429
POP-RT-MULTI	cds_annotations[].length	True	8748	9012	67802	0	int:67802
