gid	fasta_key	span
032d2a34f24a5863	W500_real	260
032d2a34f24a5863	W500_ctrl	260
039364c73e6edb3d	W500_real	260
039364c73e6edb3d	W500_ctrl	260
044abc71151a2639	W500_real	260
044abc71151a2639	W500_ctrl	260
044abc71151a2639	W500_real_halfA	260
044abc71151a2639	W500_real_halfB	260
044abc71151a2639	W500_real_lco	260
05921466b26a20a6	W500_real	260
05921466b26a20a6	W500_ctrl	260
0594c9347ae55db3	W500_real	260
0594c9347ae55db3	W500_ctrl	260
0594c9347ae55db3	W500_real_halfA	260
0594c9347ae55db3	W500_real_halfB	260
0594c9347ae55db3	W500_real_lco	260
0943928814da3b07	W500_real	260
0943928814da3b07	W500_ctrl	260
0943928814da3b07	W500_real_halfA	260
0943928814da3b07	W500_real_halfB	260
0943928814da3b07	W500_real_lco	260
09ea76dd9b8fdd4d	W500_real	260
09ea76dd9b8fdd4d	W500_ctrl	260
0defd6652dd7bd7e	W500_real	260
0defd6652dd7bd7e	W500_ctrl	260
1098fca26d1a3524	W500_real	260
1098fca26d1a3524	W500_ctrl	260
1098fca26d1a3524	W500_real_halfA	260
1098fca26d1a3524	W500_real_halfB	260
1098fca26d1a3524	W500_real_lco	260
15d428ec4ae35cc5	W500_real	260
15d428ec4ae35cc5	W500_ctrl	260
15d428ec4ae35cc5	W500_real_halfA	260
15d428ec4ae35cc5	W500_real_halfB	260
15d428ec4ae35cc5	W500_real_lco	260
17efd3f7185ae028	W500_real	260
17efd3f7185ae028	W500_ctrl	260
17efd3f7185ae028	W500_real_halfA	260
17efd3f7185ae028	W500_real_halfB	260
17efd3f7185ae028	W500_real_lco	260
1a20d44d94436c19	W500_real	260
1a20d44d94436c19	W500_ctrl	260
1a20d44d94436c19	W500_real_halfA	260
1a20d44d94436c19	W500_real_halfB	260
1a20d44d94436c19	W500_real_lco	260
1c6f584d09f0a5e6	W500_real	260
1c6f584d09f0a5e6	W500_ctrl	260
1c6f584d09f0a5e6	W500_real_halfA	260
1c6f584d09f0a5e6	W500_real_halfB	260
1c6f584d09f0a5e6	W500_real_lco	260
1d3c51de2216fd8c	W500_real	260
1d3c51de2216fd8c	W500_ctrl	260
1d3c51de2216fd8c	W500_real_halfA	260
1d3c51de2216fd8c	W500_real_halfB	260
1d3c51de2216fd8c	W500_real_lco	260
1e100cc1024ef7a6	W500_real	260
1e100cc1024ef7a6	W500_ctrl	260
1e100cc1024ef7a6	W500_real_halfA	260
1e100cc1024ef7a6	W500_real_halfB	260
1e100cc1024ef7a6	W500_real_lco	260
2613b4c80ec96f07	W500_real	260
2613b4c80ec96f07	W500_ctrl	260
2787e085ffc7a35c	W500_real	260
2787e085ffc7a35c	W500_ctrl	260
2787e085ffc7a35c	W500_real_halfA	260
2787e085ffc7a35c	W500_real_halfB	260
2787e085ffc7a35c	W500_real_lco	260
29c9146923c64dba	W500_real	260
29c9146923c64dba	W500_ctrl	260
29c9146923c64dba	W500_real_halfA	260
29c9146923c64dba	W500_real_halfB	260
29c9146923c64dba	W500_real_lco	260
30baca29e8cc1177	W500_real	260
30baca29e8cc1177	W500_ctrl	260
318794bae28ca946	W500_real	260
318794bae28ca946	W500_ctrl	260
318794bae28ca946	W500_real_halfA	260
318794bae28ca946	W500_real_halfB	260
318794bae28ca946	W500_real_lco	260
360ec6a133f0565c	W500_real	260
360ec6a133f0565c	W500_ctrl	260
360ec6a133f0565c	W500_real_halfA	260
360ec6a133f0565c	W500_real_halfB	260
360ec6a133f0565c	W500_real_lco	260
36ce49776369d77d	W500_real	260
36ce49776369d77d	W500_ctrl	260
36ce49776369d77d	W500_real_halfA	260
36ce49776369d77d	W500_real_halfB	260
36ce49776369d77d	W500_real_lco	260
383e23a685a3f8de	W500_real	260
383e23a685a3f8de	W500_ctrl	260
38ccf250c6f24823	W500_real	260
38ccf250c6f24823	W500_ctrl	260
38ccf250c6f24823	W500_real_halfA	260
38ccf250c6f24823	W500_real_halfB	260
38ccf250c6f24823	W500_real_lco	260
3ac2a7ca4319417d	W500_real	260
3ac2a7ca4319417d	W500_ctrl	260
3ac2a7ca4319417d	W500_real_halfA	260
3ac2a7ca4319417d	W500_real_halfB	260
3ac2a7ca4319417d	W500_real_lco	260
3b586e6a94df63ad	W500_real	260
3b586e6a94df63ad	W500_ctrl	260
3c6eab406ee5458a	W500_real	260
3c6eab406ee5458a	W500_ctrl	260
3d2a300b511c42c9	W500_real	260
3d2a300b511c42c9	W500_ctrl	260
3e8b4ba4f2759280	W500_real	260
3e8b4ba4f2759280	W500_ctrl	260
421d91e2bc7777e9	W500_real	260
421d91e2bc7777e9	W500_ctrl	260
4313805906ad350a	W500_real	260
4313805906ad350a	W500_ctrl	260
