family_label	detection_model	n_exact_ncrna	median_len	median_score	unit	denominator
RVT-UG8	TypeXIIIC_Mx162	1	265.0	37.4	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG8	TypeIIA2	1	75.0	28.3	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG7	TypeIB1	1	138.0	28.7	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG5	TypeIA_IIAI	1	134.0	31.4	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG3	TypeIIIA2	1	229.0	25.0	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG26	TypeXIIIC_Mx162	1	45.0	27.0	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG26	TypeIX	1	122.0	29.3	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG26	TypeIIIA2	1	199.0	30.0	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG23	TypeIX	1	135.0	40.0	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG2	TypeIIA3_firmi	1	78.0	31.3	exact ncRNA sequences	exact ncRNA sequences of that family label and model
RVT-UG2	TypeIA_IIAI	1	140.0	103.3	exact ncRNA sequences	exact ncRNA sequences of that family label and model
MULTI	Ec107_like	1	197.0	52.0	exact ncRNA sequences	exact ncRNA sequences of that family label and model
