check	scope	route_a	value_a	route_b	value_b	delta_a_minus_b	agreement
max_aa_len_per_label	RVT-UG13	b01 (parquet)	776	c03 (awk + sort -u)	776	0	AGREE
distinct_exact_rt_per_label	RVT-UG14	b01 (parquet)	881	c03 (awk + sort -u)	881	0	AGREE
min_aa_len_per_label	RVT-UG14	b01 (parquet)	42	c03 (awk + sort -u)	42	0	AGREE
max_aa_len_per_label	RVT-UG14	b01 (parquet)	2097	c03 (awk + sort -u)	2097	0	AGREE
distinct_exact_rt_per_label	RVT-UG15	b01 (parquet)	3479	c03 (awk + sort -u)	3479	0	AGREE
min_aa_len_per_label	RVT-UG15	b01 (parquet)	76	c03 (awk + sort -u)	76	0	AGREE
max_aa_len_per_label	RVT-UG15	b01 (parquet)	1157	c03 (awk + sort -u)	1157	0	AGREE
distinct_exact_rt_per_label	RVT-UG16	b01 (parquet)	595	c03 (awk + sort -u)	595	0	AGREE
min_aa_len_per_label	RVT-UG16	b01 (parquet)	46	c03 (awk + sort -u)	46	0	AGREE
max_aa_len_per_label	RVT-UG16	b01 (parquet)	1455	c03 (awk + sort -u)	1455	0	AGREE
distinct_exact_rt_per_label	RVT-UG17	b01 (parquet)	4702	c03 (awk + sort -u)	4702	0	AGREE
min_aa_len_per_label	RVT-UG17	b01 (parquet)	54	c03 (awk + sort -u)	54	0	AGREE
max_aa_len_per_label	RVT-UG17	b01 (parquet)	1325	c03 (awk + sort -u)	1325	0	AGREE
distinct_exact_rt_per_label	RVT-UG18	b01 (parquet)	299	c03 (awk + sort -u)	299	0	AGREE
min_aa_len_per_label	RVT-UG18	b01 (parquet)	56	c03 (awk + sort -u)	56	0	AGREE
max_aa_len_per_label	RVT-UG18	b01 (parquet)	1531	c03 (awk + sort -u)	1531	0	AGREE
distinct_exact_rt_per_label	RVT-UG19	b01 (parquet)	1010	c03 (awk + sort -u)	1010	0	AGREE
min_aa_len_per_label	RVT-UG19	b01 (parquet)	52	c03 (awk + sort -u)	52	0	AGREE
max_aa_len_per_label	RVT-UG19	b01 (parquet)	1522	c03 (awk + sort -u)	1522	0	AGREE
distinct_exact_rt_per_label	RVT-UG2	b01 (parquet)	8423	c03 (awk + sort -u)	8423	0	AGREE
min_aa_len_per_label	RVT-UG2	b01 (parquet)	31	c03 (awk + sort -u)	31	0	AGREE
max_aa_len_per_label	RVT-UG2	b01 (parquet)	1499	c03 (awk + sort -u)	1499	0	AGREE
distinct_exact_rt_per_label	RVT-UG20	b01 (parquet)	349	c03 (awk + sort -u)	349	0	AGREE
min_aa_len_per_label	RVT-UG20	b01 (parquet)	42	c03 (awk + sort -u)	42	0	AGREE
max_aa_len_per_label	RVT-UG20	b01 (parquet)	1969	c03 (awk + sort -u)	1969	0	AGREE
distinct_exact_rt_per_label	RVT-UG21	b01 (parquet)	193	c03 (awk + sort -u)	193	0	AGREE
min_aa_len_per_label	RVT-UG21	b01 (parquet)	75	c03 (awk + sort -u)	75	0	AGREE
max_aa_len_per_label	RVT-UG21	b01 (parquet)	1177	c03 (awk + sort -u)	1177	0	AGREE
distinct_exact_rt_per_label	RVT-UG22	b01 (parquet)	484	c03 (awk + sort -u)	484	0	AGREE
min_aa_len_per_label	RVT-UG22	b01 (parquet)	52	c03 (awk + sort -u)	52	0	AGREE
max_aa_len_per_label	RVT-UG22	b01 (parquet)	745	c03 (awk + sort -u)	745	0	AGREE
distinct_exact_rt_per_label	RVT-UG23	b01 (parquet)	697	c03 (awk + sort -u)	697	0	AGREE
min_aa_len_per_label	RVT-UG23	b01 (parquet)	38	c03 (awk + sort -u)	38	0	AGREE
max_aa_len_per_label	RVT-UG23	b01 (parquet)	1559	c03 (awk + sort -u)	1559	0	AGREE
distinct_exact_rt_per_label	RVT-UG24	b01 (parquet)	949	c03 (awk + sort -u)	949	0	AGREE
min_aa_len_per_label	RVT-UG24	b01 (parquet)	63	c03 (awk + sort -u)	63	0	AGREE
max_aa_len_per_label	RVT-UG24	b01 (parquet)	1488	c03 (awk + sort -u)	1488	0	AGREE
distinct_exact_rt_per_label	RVT-UG25	b01 (parquet)	216	c03 (awk + sort -u)	216	0	AGREE
min_aa_len_per_label	RVT-UG25	b01 (parquet)	64	c03 (awk + sort -u)	64	0	AGREE
max_aa_len_per_label	RVT-UG25	b01 (parquet)	1339	c03 (awk + sort -u)	1339	0	AGREE
distinct_exact_rt_per_label	RVT-UG26	b01 (parquet)	3954	c03 (awk + sort -u)	3954	0	AGREE
min_aa_len_per_label	RVT-UG26	b01 (parquet)	41	c03 (awk + sort -u)	41	0	AGREE
max_aa_len_per_label	RVT-UG26	b01 (parquet)	2221	c03 (awk + sort -u)	2221	0	AGREE
distinct_exact_rt_per_label	RVT-UG27	b01 (parquet)	1183	c03 (awk + sort -u)	1183	0	AGREE
min_aa_len_per_label	RVT-UG27	b01 (parquet)	37	c03 (awk + sort -u)	37	0	AGREE
max_aa_len_per_label	RVT-UG27	b01 (parquet)	1520	c03 (awk + sort -u)	1520	0	AGREE
distinct_exact_rt_per_label	RVT-UG28	b01 (parquet)	1158	c03 (awk + sort -u)	1158	0	AGREE
min_aa_len_per_label	RVT-UG28	b01 (parquet)	42	c03 (awk + sort -u)	42	0	AGREE
max_aa_len_per_label	RVT-UG28	b01 (parquet)	1521	c03 (awk + sort -u)	1521	0	AGREE
distinct_exact_rt_per_label	RVT-UG28b	b01 (parquet)	871	c03 (awk + sort -u)	871	0	AGREE
min_aa_len_per_label	RVT-UG28b	b01 (parquet)	62	c03 (awk + sort -u)	62	0	AGREE
max_aa_len_per_label	RVT-UG28b	b01 (parquet)	1014	c03 (awk + sort -u)	1014	0	AGREE
distinct_exact_rt_per_label	RVT-UG3	b01 (parquet)	5821	c03 (awk + sort -u)	5821	0	AGREE
min_aa_len_per_label	RVT-UG3	b01 (parquet)	37	c03 (awk + sort -u)	37	0	AGREE
max_aa_len_per_label	RVT-UG3	b01 (parquet)	3794	c03 (awk + sort -u)	3794	0	AGREE
distinct_exact_rt_per_label	RVT-UG4	b01 (parquet)	4705	c03 (awk + sort -u)	4705	0	AGREE
min_aa_len_per_label	RVT-UG4	b01 (parquet)	32	c03 (awk + sort -u)	32	0	AGREE
max_aa_len_per_label	RVT-UG4	b01 (parquet)	2687	c03 (awk + sort -u)	2687	0	AGREE
distinct_exact_rt_per_label	RVT-UG5	b01 (parquet)	6439	c03 (awk + sort -u)	6439	0	AGREE
min_aa_len_per_label	RVT-UG5	b01 (parquet)	45	c03 (awk + sort -u)	45	0	AGREE
max_aa_len_per_label	RVT-UG5	b01 (parquet)	1471	c03 (awk + sort -u)	1471	0	AGREE
distinct_exact_rt_per_label	RVT-UG6	b01 (parquet)	331	c03 (awk + sort -u)	331	0	AGREE
min_aa_len_per_label	RVT-UG6	b01 (parquet)	91	c03 (awk + sort -u)	91	0	AGREE
max_aa_len_per_label	RVT-UG6	b01 (parquet)	1329	c03 (awk + sort -u)	1329	0	AGREE
distinct_exact_rt_per_label	RVT-UG7	b01 (parquet)	3262	c03 (awk + sort -u)	3262	0	AGREE
min_aa_len_per_label	RVT-UG7	b01 (parquet)	66	c03 (awk + sort -u)	66	0	AGREE
max_aa_len_per_label	RVT-UG7	b01 (parquet)	1730	c03 (awk + sort -u)	1730	0	AGREE
distinct_exact_rt_per_label	RVT-UG8	b01 (parquet)	7261	c03 (awk + sort -u)	7261	0	AGREE
min_aa_len_per_label	RVT-UG8	b01 (parquet)	55	c03 (awk + sort -u)	55	0	AGREE
max_aa_len_per_label	RVT-UG8	b01 (parquet)	2473	c03 (awk + sort -u)	2473	0	AGREE
distinct_exact_rt_per_label	RVT-UG9	b01 (parquet)	674	c03 (awk + sort -u)	674	0	AGREE
min_aa_len_per_label	RVT-UG9	b01 (parquet)	27	c03 (awk + sort -u)	27	0	AGREE
max_aa_len_per_label	RVT-UG9	b01 (parquet)	1274	c03 (awk + sort -u)	1274	0	AGREE
distinct_exact_rt_per_label	Retron	b01 (parquet)	78292	c03 (awk + sort -u)	78292	0	AGREE
min_aa_len_per_label	Retron	b01 (parquet)	26	c03 (awk + sort -u)	26	0	AGREE
max_aa_len_per_label	Retron	b01 (parquet)	9260	c03 (awk + sort -u)	9260	0	AGREE
sum_of_distinct_exact_rt_per_label	all family labels	b01 (parquet)	501578	c03 (awk + sort -u)	501578	0	AGREE
