source_id	evidence_tier	region_id	region_name	series	rt0_rt7_scope	n_literal_raw	n_literal_layout	n_range_expanded_raw	n_range_expanded_layout	n_named_total_raw	routes_agree	pages_with_hit	unit	frame	stratum	denominator
zimmerly2001	TIER1	domain_6	domain/subdomain 6	numbered_rt_series	RT1_RT7	0	0	10	10	10	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	domain_7	domain/subdomain 7	numbered_rt_series	RT1_RT7	2	2	9	9	11	YES	3,7	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	rt_domain_whole	RT domain (whole)	whole_domain	CONTAINER	8	8	0	0	8	YES	1,3,4,9,11	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	domain_2a	domain/subdomain 2a	numbered_rt_series_insertion	OUTSIDE_RT1_RT7	1	0	0	0	1	NO	3	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	domain_X	domain X	adjacent_domain	OUTSIDE_RT1_RT7	21	21	0	0	21	YES	1,2,3,4,9,11,12	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	spacer_4_5	4/5 spacer	spacer	OUTSIDE_RT1_RT7	7	6	0	0	7	NO	3,5,11,12	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	spacer_7_X	7/X spacer	spacer	OUTSIDE_RT1_RT7	9	8	0	0	9	NO	3,5,11,12	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	motif_A	motif A	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	motif_B	motif B	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	motif_C	motif C	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	motif_D	motif D	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	motif_E	motif E	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	motif_F	motif F	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	regions_a_e	regions a-e	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	struct_palm	palm	structural_partition	STRUCTURAL_NOT_SEQUENCE	1	1	0	0	1	YES	1	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	struct_fingers	fingers	structural_partition	STRUCTURAL_NOT_SEQUENCE	3	3	0	0	3	YES	1,5	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	struct_thumb	thumb	structural_partition	STRUCTURAL_NOT_SEQUENCE	2	2	0	0	2	YES	1,5	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	motif_YXDD	Y/FxDD catalytic motif	catalytic_landmark	LANDMARK	5	5	0	0	5	YES	4,5,6	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	rt0_spelling	RT0 (modern spelling)	modern_spelling	RT0_SEPARATE	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	rt1_spelling	RT1 (modern spelling)	modern_spelling	RT1_RT7	1	1	0	0	1	YES	3	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	rt2_spelling	RT2 (modern spelling)	modern_spelling	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	rt3_spelling	RT3 (modern spelling)	modern_spelling	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
