gid	fasta_key	span
PM_RVT-AbiK_1	W500_real	260
PM_RVT-AbiK_1	W500_ctrl	260
PM_RVT-AbiK_2	W500_real	260
PM_RVT-AbiK_2	W500_ctrl	260
PM_RVT-AbiK_3	W500_real	260
PM_RVT-AbiK_3	W500_ctrl	260
PM_RVT-AbiK_4	W500_real	260
PM_RVT-AbiK_4	W500_ctrl	260
PM_RVT-AbiK_5	W500_real	260
PM_RVT-AbiK_5	W500_ctrl	260
PM_RVT-AbiK_6	W500_real	260
PM_RVT-AbiK_6	W500_ctrl	260
PM_RVT-AbiK_7	W500_real	260
PM_RVT-AbiK_7	W500_ctrl	260
PM_RVT-AbiK_8	W500_real	260
PM_RVT-AbiK_8	W500_ctrl	260
PM_RVT-AbiP2_1	W500_real	260
PM_RVT-AbiP2_1	W500_ctrl	260
PM_RVT-AbiP2_2	W500_real	260
PM_RVT-AbiP2_2	W500_ctrl	260
PM_RVT-AbiP2_3	W500_real	260
PM_RVT-AbiP2_3	W500_ctrl	260
PM_RVT-AbiP2_4	W500_real	260
PM_RVT-AbiP2_4	W500_ctrl	260
PM_RVT-AbiP2_5	W500_real	260
PM_RVT-AbiP2_5	W500_ctrl	260
PM_RVT-AbiP2_6	W500_real	260
PM_RVT-AbiP2_6	W500_ctrl	260
PM_RVT-AbiP2_7	W500_real	260
PM_RVT-AbiP2_7	W500_ctrl	260
PM_RVT-AbiP2_8	W500_real	260
PM_RVT-AbiP2_8	W500_ctrl	260
PM_RVT-CRISPR_1	W500_real	260
PM_RVT-CRISPR_1	W500_ctrl	260
PM_RVT-CRISPR_2	W500_real	260
PM_RVT-CRISPR_2	W500_ctrl	260
PM_RVT-CRISPR_3	W500_real	260
PM_RVT-CRISPR_3	W500_ctrl	260
PM_RVT-CRISPR_4	W500_real	260
PM_RVT-CRISPR_4	W500_ctrl	260
PM_RVT-CRISPR_5	W500_real	260
PM_RVT-CRISPR_5	W500_ctrl	260
PM_RVT-CRISPR_6	W500_real	260
PM_RVT-CRISPR_6	W500_ctrl	260
PM_RVT-CRISPR_7	W500_real	260
PM_RVT-CRISPR_7	W500_ctrl	260
PM_RVT-CRISPR_8	W500_real	260
PM_RVT-CRISPR_8	W500_ctrl	260
PM_RVT-CRISPR-like_1	W500_real	260
PM_RVT-CRISPR-like_1	W500_ctrl	260
PM_RVT-CRISPR-like_2	W500_real	260
PM_RVT-CRISPR-like_2	W500_ctrl	260
PM_RVT-CRISPR-like_3	W500_real	260
PM_RVT-CRISPR-like_3	W500_ctrl	260
PM_RVT-CRISPR-like_4	W500_real	260
PM_RVT-CRISPR-like_4	W500_ctrl	260
PM_RVT-CRISPR-like_5	W500_real	260
PM_RVT-CRISPR-like_5	W500_ctrl	260
PM_RVT-CRISPR-like_6	W500_real	260
PM_RVT-CRISPR-like_6	W500_ctrl	260
PM_RVT-CRISPR-like_7	W500_real	260
PM_RVT-CRISPR-like_7	W500_ctrl	260
PM_RVT-CRISPR-like_8	W500_real	260
PM_RVT-CRISPR-like_8	W500_ctrl	260
PM_RVT-DGRs_1	W500_real	260
PM_RVT-DGRs_1	W500_ctrl	260
PM_RVT-DGRs_2	W500_real	260
PM_RVT-DGRs_2	W500_ctrl	260
PM_RVT-DGRs_3	W500_real	260
PM_RVT-DGRs_3	W500_ctrl	260
PM_RVT-DGRs_4	W500_real	260
PM_RVT-DGRs_4	W500_ctrl	260
PM_RVT-DGRs_5	W500_real	260
PM_RVT-DGRs_5	W500_ctrl	260
PM_RVT-DGRs_6	W500_real	260
PM_RVT-DGRs_6	W500_ctrl	260
PM_RVT-DGRs_7	W500_real	260
PM_RVT-DGRs_7	W500_ctrl	260
PM_RVT-DGRs_8	W500_real	260
PM_RVT-DGRs_8	W500_ctrl	260
PM_RVT-GII_1	W500_real	260
PM_RVT-GII_1	W500_ctrl	260
PM_RVT-GII_2	W500_real	260
PM_RVT-GII_2	W500_ctrl	260
PM_RVT-GII_3	W500_real	260
PM_RVT-GII_3	W500_ctrl	260
PM_RVT-GII_4	W500_real	260
PM_RVT-GII_4	W500_ctrl	260
PM_RVT-GII_5	W500_real	260
PM_RVT-GII_5	W500_ctrl	260
PM_RVT-GII_6	W500_real	260
PM_RVT-GII_6	W500_ctrl	260
PM_RVT-GII_7	W500_real	260
PM_RVT-GII_7	W500_ctrl	260
PM_RVT-GII_8	W500_real	260
PM_RVT-GII_8	W500_ctrl	260
PM_RVT-UG2_1	W500_real	260
PM_RVT-UG2_1	W500_ctrl	260
PM_RVT-UG2_2	W500_real	260
PM_RVT-UG2_2	W500_ctrl	260
PM_RVT-UG2_3	W500_real	260
PM_RVT-UG2_3	W500_ctrl	260
PM_RVT-UG2_4	W500_real	260
PM_RVT-UG2_4	W500_ctrl	260
PM_RVT-UG2_5	W500_real	260
PM_RVT-UG2_5	W500_ctrl	260
