n_components	diff	median	trimmed_mean_90	ci_lo	ci_hi	frac_components_favouring_first	n_eff	fold
194	-0.01563295714143779	0.005665839042833465	-0.003799435155998161	-0.03028236171772615	-0.002955908626933882	0.44329896907216493	194.0	0
219	-0.014376544602005164	-0.012710068252060447	-0.013698753613777873	-0.020737040033401096	-0.008313933173733214	0.726027397260274	219.0	1
220	-0.026898742048663674	-0.002414927872691486	-0.022626597186426844	-0.03650932356720864	-0.017592188933143016	0.5363636363636364	220.0	2
221	-0.03566886588509504	-0.033371267797740245	-0.038206770407968875	-0.04256131108409887	-0.02788882090049038	0.8733031674208145	221.0	3
221	-0.02973441001767647	-0.013292809372628778	-0.023494591728065315	-0.04058305661853343	-0.019394226115786492	0.6425339366515838	221.0	4
