component_id	n_pairs	n_tok	n_distinct_rt	n_distinct_ncrna	n_retron_types	n_rt_homolog_groups	cv_fold	dominant_retron_type	any_T4	any_T3	in_sensitivity_population	mean_nearest_train_rt_cosine	relatedness_stratum	nll_per_nt_U	nll_per_nt_T	nll_per_nt_G	nll_per_nt_R	nll_per_nt_P	delta_R_minus_T	delta_R_minus_G	delta_R_minus_P	delta_P_minus_T	delta_logP_C1	n_pairs_C1	delta_logP_C2	n_pairs_C2	delta_logP_C3	n_pairs_C3	delta_logP_C4	n_pairs_C4
CMP00256	4	687	4	3	1	1	3	Ec107_like	0	1	1	0.991913	Q4	1.388466	1.351918	1.360418	1.308386	1.3883	-0.043532	-0.052032	-0.079914	0.036382	0.061713	4	0.013953	3	-0.002602	4	0.007412	4
CMP00257	4	682	4	4	1	1	4	TypeIA_IIAI	0	0	0	0.992641	Q4	1.408278	1.324135	1.250212	1.253764	1.236233	-0.070371	0.003552	0.017531	-0.087902	0.037614	4	0.027512	4	0.014096	4	0.003741	4
CMP00258	4	829	4	4	1	1	0	TypeXIIIA_firmi	0	1	0	0.991026	Q4	1.348644	1.33297	1.310555	1.320468	1.290925	-0.012502	0.009913	0.029543	-0.042045	0.070832	4		0	0.0508	4	0.000321	4
CMP00259	4	560	4	2	1	2	1	TypeIC1_IC2	0	0	1	0.991014	Q4	1.368507	1.571502	1.451828	1.465772	1.635976	-0.10573	0.013944	-0.170204	0.064474	0.05922	4	0.078129	3	0.004602	4	0.004157	3
CMP00260	4	652	4	3	1	1	2	TypeIIA3_firmi	1	1	0	0.989242	Q3	1.440681	1.369958	1.364691	1.360062	1.369198	-0.009896	-0.004629	-0.009136	-0.00076	0.006457	4	0.004961	4	0.004111	4	-0.00107	4
CMP00261	4	548	4	1	1	1	3	TypeIIIA1	0	1	0	0.975038	Q1	1.454335	1.448845	1.428434	1.445524	1.435257	-0.003321	0.01709	0.010267	-0.013588	-0.017476	4	-0.017769	4	-0.022754	4		0
CMP00262	4	594	4	4	1	2	4	TypeIA_IIAI	1	1	0	0.984786	Q2	1.382586	1.236446	1.230622	1.187651	1.206181	-0.048795	-0.042971	-0.01853	-0.030265	0.020537	4	0.033678	3	0.009237	4	0.005515	3
CMP00263	4	536	4	4	1	1	0	OutgroupA	1	1	0	0.988245	Q2	1.406169	1.366686	1.367093	1.352184	1.3211	-0.014502	-0.014909	0.031084	-0.045586	0.014638	4	0.013185	4	0.002806	4	0.00328	4
CMP00264	4	1031	4	4	1	1	1	TypeIIIA3	1	1	0	0.993646	Q4	1.426908	1.405113	1.395156	1.380294	1.404755	-0.024819	-0.014862	-0.024461	-0.000358	0.005343	4	0.006016	4	0.000562	4	0.001033	4
CMP00265	4	775	4	4	1	1	2	Ec107_like	1	1	1	0.986054	Q2	1.408475	1.569471	1.39285	1.435455	1.429712	-0.134016	0.042605	0.005743	-0.139759	0.039113	4	0.00528	4	0.04017	4	0.002105	4
CMP00266	4	533	4	4	1	1	3	OutgroupA	1	1	0	0.993274	Q4	1.292895	1.269287	1.162989	1.146638	1.177736	-0.122649	-0.016351	-0.031098	-0.091551	0.045931	4	0.058594	4	0.000701	4	-0.002428	4
CMP00267	4	400	4	3	1	1	4	TypeIB1	0	0	0	0.996689	Q4	1.458796	1.233032	1.343174	1.299038	1.112256	0.066006	-0.044136	0.186782	-0.120776	0.03229	4	0.016054	4	-0.012814	4	0.003494	4
CMP00268	4	744	4	3	1	1	0	TypeIB2	1	1	1	0.992798	Q4	1.398412	1.599593	1.403061	1.383328	1.454718	-0.216265	-0.019733	-0.07139	-0.144875	0.011264	4	0.009348	4	0.007269	4	-0.00228	4
CMP00269	4	525	4	4	1	1	1	TypeIC1_IC2	1	1	0	0.99472	Q4	1.385287	1.374111	1.251715	1.29103	1.381584	-0.083081	0.039315	-0.090554	0.007473	0.00646	4	0.010759	4	-0.006185	4	0.00064	4
CMP00270	4	538	4	3	1	1	2	TypeIC1_IC2	0	0	0	0.995323	Q4	1.401074	1.387752	1.312238	1.212211	1.282309	-0.175541	-0.100027	-0.070098	-0.105443	0.104601	4	0.091279	4	0.021481	4	0.002353	4
CMP00271	4	617	4	3	1	1	3	TypeXIII_Mx65	0	0	1	0.983957	Q2	1.429349	1.405337	1.376725	1.389321	1.461961	-0.016016	0.012596	-0.07264	0.056624	-0.018689	4	-0.016257	4	-0.010067	4	0.00133	4
CMP00272	4	596	4	1	1	1	4	TypeIA_IIAI	1	1	0	0.985882	Q2	1.377594	1.173106	1.178393	1.180646	1.246704	0.00754	0.002253	-0.066058	0.073598	0.024847	4	0.022766	4	0.060088	4		0
CMP00273	4	516	4	4	2	1	0	OutgroupA	0	1	0	0.987328	Q2	1.389881	1.31649	1.324798	1.326916	1.281069	0.010426	0.002118	0.045847	-0.035421	0.012922	3	0.020647	3	0.00378	4	0.007268	4
CMP00274	4	525	4	3	1	1	1	OutgroupA	1	1	1	0.985682	Q2	1.404343	1.377759	1.372493	1.350632	1.379895	-0.027127	-0.021861	-0.029263	0.002136	0.004074	4	0.010056	4	-0.001232	4	0.000697	4
CMP00275	4	1192	4	3	1	2	2	TypeIIIA3	0	1	0	0.98685	Q3	1.418135	1.397517	1.393319	1.396236	1.372982	-0.001281	0.002917	0.023254	-0.024535	0.028676	4	0.021459	4	0.008208	4	-0.00096	3
CMP00276	4	637	4	4	1	1	3	TypeIB2	1	1	0	0.995264	Q4	1.422082	1.394527	1.389167	1.363873	1.453135	-0.030654	-0.025294	-0.089262	0.058608	0.001967	4	-0.009004	4	-0.008421	4	-0.005642	4
CMP00277	4	541	4	3	1	1	4	TypeIC1_IC2	1	1	1	0.993092	Q4	1.369228	1.327757	1.314655	1.355555	1.275302	0.027798	0.0409	0.080253	-0.052455	0.015111	4	0.020164	4	0.000106	4	-0.000515	4
CMP00278	4	526	4	4	1	1	0	OutgroupA	0	0	0	0.989392	Q2	1.398543	1.378731	1.33155	1.372897	1.321152	-0.005834	0.041347	0.051745	-0.057579	0.019245	4	0.015685	4	0.003964	4	0.000861	4
CMP00279	4	527	4	3	1	1	1	OutgroupA	1	1	0	0.976644	Q1	1.359411	1.349419	1.361461	1.348614	1.373994	-0.000805	-0.012847	-0.02538	0.024575	-0.001049	4	-0.001643	4	-0.001693	4	-0.001987	4
CMP00280	4	509	4	4	1	1	2	OutgroupA	0	0	1	0.98346	Q1	1.409374	1.387082	1.304575	1.318814	1.317814	-0.068268	0.014239	0.001	-0.069268	0.020815	4	0.020512	4	0.003929	4	0.011273	4
CMP00281	4	607	4	3	1	2	3	Ec107_like	0	1	0	0.9846	Q2	1.425198	1.384922	1.36777	1.351983	1.490314	-0.032939	-0.015787	-0.138331	0.105392	0.009206	4	0.011286	3	-0.005031	4	-0.003324	3
CMP00282	4	968	4	4	1	1	4	TypeIIIA3	1	1	0	0.993674	Q4	1.416613	1.37501	1.389002	1.383443	1.342344	0.008433	-0.005559	0.041099	-0.032666	0.024359	4	0.008156	4	0.001686	4	0.002129	4
CMP00283	4	904	4	3	1	1	0	TypeXIIIB_Ne144	0	1	1	0.984171	Q2	1.35769	1.291862	1.302978	1.338265	1.260832	0.046403	0.035287	0.077433	-0.03103	0.047413	4	0.058829	4	0.010225	4	-0.006011	4
CMP00284	4	626	4	4	1	1	1	TypeXIII_Mx65	0	0	0	0.985353	Q2	1.412361	1.371688	1.37886	1.374745	1.389437	0.003057	-0.004115	-0.014692	0.017749	0.001275	4	-4.5e-05	4	0.000738	4	0.002171	4
CMP00285	4	505	4	4	1	1	2	TypeIC1_IC2	1	1	0	0.993995	Q4	1.431348	1.2644	1.192744	1.226683	1.295563	-0.037717	0.033939	-0.06888	0.031163	0.038146	4	0.015025	4	-0.01721	4	-0.013444	4
CMP00286	4	530	4	3	1	1	3	OutgroupA	0	1	1	0.977864	Q1	1.374709	1.359446	1.346639	1.342073	1.372682	-0.017373	-0.004566	-0.030609	0.013236	-0.010819	4	-0.010431	4	-0.019842	4	0.000623	4
CMP00287	4	872	4	3	2	1	4	TypeXIIIB_Ne144	0	0	0	0.991036	Q4	1.422773	1.421957	1.407695	1.402237	1.40257	-0.01972	-0.005458	-0.000333	-0.019387	0.021615	4	0.01362	4	0.003353	4	7.1e-05	4
CMP00288	3	367	3	3	1	1	0	OutgroupA	0	1	0	0.984624	Q2	1.392727	1.392139	1.362711	1.350038	1.34049	-0.042101	-0.012673	0.009548	-0.051649	0.025981	3	0.021148	3	0.005282	3	0.002766	3
CMP00289	3	626	3	2	1	1	1	TypeV	1	1	0	0.98973	Q3	1.438109	1.451756	1.437654	1.437899	1.446948	-0.013857	0.000245	-0.009049	-0.004808		0		0	-0.000564	3	-0.000564	3
CMP00290	3	453	3	3	1	1	2	TypeIA_IIAI	0	0	1	0.986869	Q2	1.416787	1.377125	1.399768	1.399285	1.407663	0.02216	-0.000483	-0.008378	0.030538	-0.001852	3	-0.00273	3	-0.002774	3	-0.001232	3
CMP00291	3	386	3	3	1	1	0	OutgroupA	0	1	0	0.988009	Q3	1.358016	1.264904	1.263387	1.269666	1.23643	0.004762	0.006279	0.033236	-0.028474	0.038241	3	0.02865	3	0.00191	3	-0.002489	3
CMP00292	3	393	3	3	1	1	1	OutgroupA	0	1	0	0.985379	Q1	1.408564	1.366159	1.354025	1.316187	1.350742	-0.049972	-0.037838	-0.034555	-0.015417	0.017277	3	0.012825	3	0.00156	3	-0.00018	3
CMP00293	3	440	1	3	1	1	2	Ec107_like	0	1	1	0.990314	Q3	1.452926	1.605235	1.460673	1.47638	1.433973	-0.128855	0.015707	0.042407	-0.171262	0.048046	3	0.095818	3	-0.041591	3		0
CMP00294	3	456	2	3	1	1	3	TypeIA_IIAI	0	0	0	0.991508	Q4	1.460537	1.402994	1.40046	1.380437	1.395418	-0.022557	-0.020023	-0.014981	-0.007576	0.021693	3	0.015618	3	0.00324	3	0.002905	3
CMP00295	3	570	3	3	1	1	4	TypeIIIA2	1	1	0	0.992164	Q4	1.41297	1.356628	1.380863	1.363679	1.344591	0.007051	-0.017184	0.019088	-0.012037	0.03185	3	0.016499	3	0.004926	3	0.005239	3
CMP00296	3	867	3	3	1	2	0	TypeIIIA3	0	0	1	0.993504	Q4	1.410966	1.37496	1.386647	1.382952	1.380979	0.007992	-0.003695	0.001973	0.006019	0.015958	3	0.01521	2	0.004247	3	-0.00034	2
CMP00297	3	392	3	3	1	1	1	TypeIA_IIAI	0	0	0	0.986321	Q2	1.445401	1.493924	1.435198	1.421926	1.485914	-0.071998	-0.013272	-0.063988	-0.00801	0.023046	3	0.025164	3	0.005332	3	0.006645	3
CMP00298	3	423	3	2	1	2	2	TypeIA_IIAI	0	0	0	0.978759	Q1	1.434769	1.40568	1.403186	1.408175	1.443686	0.002495	0.004989	-0.035511	0.038006	0.010863	3	0.017692	1	-0.007912	3		0
CMP00299	3	387	3	3	1	1	3	OutgroupA	1	1	1	0.991588	Q4	1.29194	1.243623	1.158297	1.153164	1.121058	-0.090459	-0.005133	0.032106	-0.122565	0.029645	3	0.035931	3	-0.00024	3	0.001804	3
CMP00300	3	285	3	3	1	1	4	TypeIV	1	1	0	0.993976	Q4	1.453715	1.344062	1.422133	1.341351	1.45937	-0.002711	-0.080782	-0.118019	0.115308		0		0	0.020768	3	0.016041	3
CMP00301	3	392	3	3	1	1	0	OutgroupA	0	0	0	0.985124	Q2	1.387876	1.323424	1.341154	1.324318	1.304039	0.000894	-0.016836	0.020279	-0.019385	0.023207	3	0.011905	3	0.001078	3	-0.003746	3
CMP00302	3	397	3	3	1	1	1	OutgroupA	0	1	1	0.989528	Q3	1.43939	1.411882	1.390722	1.411484	1.409006	-0.000398	0.020762	0.002478	-0.002876	0.014567	3	0.011561	3	0.001373	3	0.002876	3
CMP00303	3	437	3	3	1	1	2	TypeIC1_IC2	1	1	0	0.994643	Q4	1.429309	1.545515	1.400095	1.353216	1.418661	-0.192299	-0.046879	-0.065445	-0.126854	0.056533	3	0.033364	3	0.024288	3	0.005883	3
CMP00304	3	381	3	2	1	1	3	Ec107_like	0	1	0	0.983778	Q1	1.385292	1.387933	1.352969	1.355605	1.403615	-0.032328	0.002636	-0.04801	0.015682	0.01654	3	0.0208	3	0.007235	3	0.000926	3
CMP00305	3	389	3	3	1	1	4	OutgroupA	0	1	1	0.992538	Q4	1.39788	1.566233	1.338411	1.337517	1.282426	-0.228716	-0.000894	0.055091	-0.283807	0.062786	3	0.033185	3	0.013848	3	0.003754	3
CMP00306	3	475	3	2	1	1	0	TypeIA_IIAI	0	0	0	0.988377	Q3	1.380577	1.447588	1.376316	1.328158	1.523	-0.11943	-0.048158	-0.194842	0.075412	0.013925	3	0.012845	3	0.003749	3	-0.001577	3
CMP00307	3	389	3	3	1	1	1	TypeIC1_IC2	1	1	0	0.99406	Q4	1.338895	1.333489	1.28611	1.223405	1.331319	-0.110084	-0.062705	-0.107914	-0.00217	0.035449	3	0.026318	3	0.012918	3	0.002078	3
CMP00308	3	655	3	3	1	1	2	TypeXIIIB_Ne144	0	1	1	0.991069	Q3	1.417208	1.339036	1.297818	1.322143	1.304706	-0.016893	0.024325	0.017437	-0.03433	0.014885	3	0.020343	3	0.001875	3	0.003523	3
CMP00309	3	458	3	3	1	1	3	TypeIA_IIAI	0	0	0	0.988757	Q3	1.456507	1.403678	1.382663	1.362225	1.369074	-0.041453	-0.020438	-0.006849	-0.034604	0.017456	3	0.00205	3	-0.002537	3	-0.002588	3
CMP00310	3	396	3	2	1	1	4	TypeIC1_IC2	0	0	0	0.984996	Q2	1.389176	1.33988	1.416738	1.333405	1.387995	-0.006475	-0.083333	-0.05459	0.048115	0.018769	3	0.027577	3	-0.008751	3	-0.000678	3
CMP00311	3	458	3	3	1	1	0	TypeIC1_IC2	0	1	0	0.994835	Q4	1.362308	1.275895	1.353393	1.33533	1.326225	0.059435	-0.018063	0.009105	0.05033	0.016028	3	0.022151	3	0.004045	3	-0.001588	3
CMP00312	3	565	3	2	1	1	1	TypeIB2	0	0	0	0.993026	Q4	1.44037	1.440624	1.423686	1.420142	1.424796	-0.020482	-0.003544	-0.004654	-0.015828	-0.002039	3	-0.00121	3	-0.001395	3	-6.8e-05	3
CMP00313	3	390	3	2	1	2	2	OutgroupA	0	1	0	0.987898	Q4	1.440115	1.440108	1.384585	1.362184	1.449264	-0.077924	-0.022401	-0.08708	0.009156	0.024074	3	0.050434	2	0.016724	3		0
CMP00314	3	378	3	3	1	1	3	Ec107_like	0	1	1	0.98929	Q3	1.395722	1.392635	1.442952	1.339084	1.415753	-0.053551	-0.103868	-0.076669	0.023118	0.004714	3	-0.005724	3	-0.013366	3	-0.000567	3
CMP00315	3	447	3	2	1	1	4	TypeIB2	1	1	0	0.994827	Q4	1.428691	1.773591	1.425908	1.35485	1.677914	-0.418741	-0.071058	-0.323064	-0.095677	0.05756	3	0.029901	3	-0.004497	3	-0.005532	3
CMP00316	3	389	3	3	1	1	0	TypeIC1_IC2	0	1	0	0.993791	Q4	1.417661	1.304452	1.351985	1.344062	1.309842	0.03961	-0.007923	0.03422	0.00539	0.026312	3	0.016942	3	0.007949	3	0.00022	3
CMP00317	3	818	3	2	1	1	1	TypeIIIA3	0	1	1	0.990594	Q3	1.450089	1.420593	1.420338	1.427128	1.419413	0.006535	0.00679	0.007715	-0.00118	0.003274	3	-0.002013	3	0.006662	3	-0.000932	3
CMP00318	3	464	3	2	1	2	2	TypeIA_IIAI	0	0	0	0.956363	Q1	1.427277	1.431504	1.469748	1.455134	1.478777	0.02363	-0.014614	-0.023643	0.047273	-0.008195	3	-0.00302	2	0.007665	3	-0.004174	2
CMP00319	3	669	3	3	1	1	3	TypeXIIIB_Ne144	1	1	0	0.988137	Q2	1.443596	1.447879	1.410889	1.409165	1.408676	-0.038714	-0.001724	0.000489	-0.039203	0.020969	3		0	0.002084	3	-0.00154	3
CMP00320	3	282	3	3	1	1	4	TypeIV	1	1	1	0.991067	Q4	1.420276	1.390461	1.366909	1.300571	1.336903	-0.08989	-0.066338	-0.036332	-0.053558		0		0	-0.014934	3	-0.013206	3
CMP00321	3	376	3	3	1	1	0	OutgroupA	0	1	0	0.989419	Q3	1.451736	1.420506	1.397222	1.405766	1.389187	-0.01474	0.008544	0.016579	-0.031319	0.047439	3	0.037982	3	-0.005159	3	-0.000571	3
CMP00322	3	398	3	2	1	2	1	TypeIC1_IC2	1	1	0	0.99226	Q4	1.342271	1.311958	1.233279	1.249119	1.332838	-0.062839	0.01584	-0.083719	0.02088	0.041321	3	0.059145	1	-0.004494	3	0.008492	2
CMP00323	3	384	3	3	1	1	2	OutgroupA	0	1	1	0.985152	Q1	1.406552	1.220092	1.245516	1.315879	1.215284	0.095787	0.070363	0.100595	-0.004808	-0.018604	3	-0.032168	3	-0.027359	3	0.000766	3
CMP00324	3	397	3	3	1	1	3	OutgroupA	0	1	0	0.99009	Q2	1.38706	1.377527	1.32106	1.352112	1.425938	-0.025415	0.031052	-0.073826	0.048411	-0.046742	3	-0.020974	3	-0.047584	3	-0.006275	3
CMP00325	3	385	3	3	1	1	4	OutgroupA	1	1	0	0.975489	Q1	1.306394	1.212913	1.179987	1.204413	1.158484	-0.0085	0.024426	0.045929	-0.054429	0.017127	3		0	-0.004824	3	0.012407	3
CMP00326	3	458	3	3	1	1	0	TypeIB2_firmi	0	1	1	0.994939	Q4	1.371929	1.351845	1.346805	1.338247	1.354743	-0.013598	-0.008558	-0.016496	0.002898	0.005405	3	0.00885	3	0.009193	3	0.001523	3
CMP00327	3	394	3	3	1	1	1	OutgroupA	1	1	0	0.988097	Q3	1.393678	1.388247	1.373241	1.386478	1.369227	-0.001769	0.013237	0.017251	-0.01902	0.013434	3	0.009207	3	0.001583	3	0.003105	3
CMP00328	3	478	3	2	1	1	2	TypeIC1_IC2	1	1	0	0.996157	Q4	1.417253	1.221373	1.197935	1.170332	1.112674	-0.051041	-0.027603	0.057658	-0.108699	0.074326	3	0.083468	3	0.021966	3	-0.000555	3
CMP00329	3	389	3	2	1	2	3	OutgroupA	0	1	1	0.990137	Q4	1.311758	1.359003	1.220235	1.234391	1.259314	-0.124612	0.014156	-0.024923	-0.099689	0.032577	3	0.017927	2	0.001943	3	0.005334	2
CMP00330	3	402	3	3	1	1	4	TypeIC1_IC2	1	1	0	0.993393	Q4	1.438165	1.355025	1.406267	1.391358	1.246132	0.036333	-0.014909	0.145226	-0.108893	0.025436	3	0.016278	3	-0.003595	3	-0.001826	3
CMP00331	3	385	3	3	1	1	0	OutgroupA	0	1	0	0.987189	Q2	1.357496	1.254574	1.272266	1.291226	1.267972	0.036652	0.01896	0.023254	0.013398	0.036897	3	0.010762	3	-0.003189	3	0.002586	3
CMP00332	3	394	3	3	1	1	1	OutgroupA	1	1	1	0.985521	Q2	1.468742	1.433871	1.426304	1.42522	1.438794	-0.008651	-0.001084	-0.013574	0.004923	0.030257	3	0.026627	3	0.001135	3	0.000506	3
CMP00333	3	389	3	3	1	1	2	TypeIC1_IC2	0	1	0	0.993887	Q4	1.41423	1.291338	1.151629	1.177942	1.219263	-0.113396	0.026313	-0.041321	-0.072075	0.033086	3	0.023139	3	0.003727	3	-0.003845	3
CMP00334	3	426	3	2	1	1	3	TypeIX	1	1	0	0.989189	Q3	1.433984	1.42421	1.411569	1.40631	1.4102	-0.0179	-0.005259	-0.00389	-0.01401	0.036619	3	0.037436	3	0.008109	3	0.010149	3
CMP00335	3	663	3	3	1	1	4	TypeXIIIB_Ne144	0	1	1	0.978946	Q1	1.421957	1.40418	1.399755	1.385737	1.403393	-0.018443	-0.014018	-0.017656	-0.000787	0.022467	3	0.024605	3	0.00708	3	0.011833	3
CMP00336	3	390	3	3	1	1	0	OutgroupA	1	1	0	0.984115	Q2	1.399614	1.346284	1.353739	1.383031	1.320098	0.036747	0.029292	0.062933	-0.026186	-0.002114	3	-0.004068	1	-0.000364	3	-0.00271	3
CMP00337	3	482	3	3	1	1	1	TypeIB2	1	1	0	0.994672	Q4	1.433659	1.40959	1.383824	1.390781	1.389565	-0.018809	0.006957	0.001216	-0.020025	0.000625	3	0.001802	3	-0.001955	3	-0.001892	3
CMP00338	3	392	3	2	1	1	2	OutgroupA	1	1	0	0.988133	Q2	1.404189	1.203421	1.163808	1.165849	1.152762	-0.037572	0.002041	0.013087	-0.050659	0.018677	3	0.016022	3	-0.000318	3	0.014829	3
CMP00339	3	370	3	3	1	1	3	OutgroupA	1	1	0	0.979495	Q1	1.386049	1.345321	1.29857	1.301766	1.336452	-0.043555	0.003196	-0.034686	-0.008869	0.010941	3	0.00946	3	0.011715	3	0.001608	3
CMP00340	3	383	3	3	1	1	4	OutgroupA	1	1	0	0.988455	Q3	1.309661	1.215531	1.235088	1.2532	1.225816	0.037669	0.018112	0.027384	0.010285	0.031705	3	0.030943	3	0.008464	3	0.01235	3
CMP00341	3	712	3	3	1	1	0	TypeXIIIA_firmi	0	0	1	0.993028	Q4	1.418498	1.447929	1.379291	1.353004	1.379336	-0.094925	-0.026287	-0.026332	-0.068593	0.15556	3		0	0.136779	3	0.014769	3
CMP00342	3	414	3	3	1	1	1	TypeIA_IIAI	0	0	0	0.988305	Q3	1.418486	1.414659	1.388986	1.386141	1.408339	-0.028518	-0.002845	-0.022198	-0.00632	0.028005	3	0.022976	3	0.00748	3	-0.001576	3
CMP00343	3	602	3	3	1	1	2	TypeIIIA2	0	1	0	0.989717	Q3	1.420959	1.421408	1.395854	1.401268	1.405282	-0.02014	0.005414	-0.004014	-0.016126	0.040664	3	0.045393	3	0.021249	3	0.007172	3
CMP00344	3	462	3	3	1	1	3	TypeIA_IIAI	0	0	1	0.98998	Q3	1.441027	1.418399	1.41037	1.383828	1.38972	-0.034571	-0.026542	-0.005892	-0.028679	0.011209	3	0.003505	3	-0.002881	3	0.000352	3
CMP00345	3	428	3	3	1	1	4	TypeIA_IIAI	0	1	0	0.992437	Q4	1.34739	1.437863	1.315692	1.312251	1.342942	-0.125612	-0.003441	-0.030691	-0.094921	0.042209	3		0	0.004883	3	0.004591	3
CMP00346	3	694	3	2	1	1	0	TypeXIIIB_Ne144	1	1	0	0.990803	Q3	1.316421	1.288681	1.265556	1.274608	1.217081	-0.014073	0.009052	0.057527	-0.0716	0.13381	3	0.091181	1	0.058842	3	0.00804	3
CMP00347	3	378	3	2	1	1	1	TypeIC1_IC2	0	1	0	0.990516	Q3	1.395364	1.610649	1.406687	1.343452	1.654818	-0.267197	-0.063235	-0.311366	0.044169	0.058025	3	0.076512	3	0.01841	3	-0.003803	3
CMP00348	3	395	3	3	1	1	2	OutgroupA	0	0	0	0.98713	Q3	1.435931	1.47488	1.368415	1.355314	1.365907	-0.119566	-0.013101	-0.010593	-0.108973	0.092809	3	0.096498	3	0.012078	3	0.002159	3
CMP00349	3	483	3	3	1	1	3	TypeIA_IIAI	0	0	0	0.989492	Q4	1.407819	1.417714	1.39543	1.371261	1.392383	-0.046453	-0.024169	-0.021122	-0.025331	0.014621	3	0.004248	3	7.4e-05	3	0.014202	3
CMP00350	3	470	3	3	1	1	4	TypeIA_IIAI	0	0	1	0.989975	Q3	1.402393	1.444105	1.34871	1.367184	1.664987	-0.076921	0.018474	-0.297803	0.220882	-0.011533	3	-0.011128	3	-0.005174	3	-0.009665	3
CMP00351	3	369	3	1	1	2	0	OutgroupA	0	0	0	0.972512	Q1	1.481872	1.385912	1.418143	1.425917	1.428135	0.040005	0.007774	-0.002218	0.042223	0.029612	3		0	-0.012277	3		0
CMP00352	3	518	3	3	1	1	1	TypeIB2_firmi	1	1	0	0.994336	Q4	1.386105	1.382168	1.357595	1.362032	1.360553	-0.020136	0.004437	0.001479	-0.021615		0		0	0.001545	3	0.00551	3
CMP00353	3	388	3	3	1	1	2	TypeIC1_IC2	0	1	1	0.992095	Q4	1.433077	1.338534	1.266687	1.25851	1.261134	-0.080024	-0.008177	-0.002624	-0.0774	0.007502	3	0.026323	3	-0.010793	3	-0.007343	3
CMP00354	3	668	2	3	1	1	3	TypeIIIA2	0	1	0	0.988895	Q3	1.449097	1.401391	1.381801	1.387569	1.397959	-0.013822	0.005768	-0.01039	-0.003432	0.019717	3	0.008316	3	0.002384	3	-0.00301	3
CMP00355	3	633	3	3	1	1	4	TypeIIIA2	1	1	0	0.99367	Q4	1.362529	1.338831	1.344116	1.327201	1.328448	-0.01163	-0.016915	-0.001247	-0.010383	0.050033	3	0.038129	3	0.014572	3	-0.000342	3
CMP00356	3	479	3	3	1	1	0	TypeIB2_firmi	1	1	1	0.99299	Q4	1.377055	1.336641	1.366037	1.360667	1.336401	0.024026	-0.00537	0.024266	-0.00024	-0.00515	3	-0.005818	3	-0.001391	3	-0.001319	3
CMP00357	3	404	3	3	1	1	1	OutgroupA	0	0	0	0.989881	Q3	1.455751	1.4259	1.418676	1.409947	1.405127	-0.015953	-0.008729	0.00482	-0.020773	0.028854	3	0.026064	3	0.003915	3	0.004638	3
CMP00358	2	286	2	2	1	1	2	TypeIC1_IC2	0	0	0	0.994824	Q4	1.38485	1.32247	1.179555	1.221649	1.316934	-0.100821	0.042094	-0.095285	-0.005536	0.053614	2	0.059925	2	0.02086	2	0.002429	2
CMP00359	2	169	2	2	2	1	3	TypeXIIIC_Mx162	0	0	0	0.964922	Q1	1.454494	1.423972	1.448816	1.484642	1.60489	0.06067	0.035826	-0.120248	0.180918	0.020313	1		0	0.011946	2	-0.035069	2
CMP00360	2	258	2	2	1	1	4	TypeIC1_IC2	1	1	0	0.992805	Q4	1.424288	1.363921	1.391009	1.423702	1.342575	0.059781	0.032693	0.081127	-0.021346	0.016798	2	0.016432	2	-0.004004	2	-0.000351	2
CMP00361	2	440	2	2	1	1	2	Ec107_like	0	1	0	0.964776	Q1	1.387548	1.575474	1.75752	1.427894	1.402468	-0.14758	-0.329626	0.025426	-0.173006	0.069079	2	0.029938	2	0.005698	2	0.000616	2
CMP00362	2	310	2	2	1	1	3	TypeIB1	0	0	0	0.995432	Q4	1.437082	1.408922	1.396576	1.385732	1.34731	-0.02319	-0.010844	0.038422	-0.061612	0.045398	2	0.04542	2	0.006085	2	0.000791	2
CMP00363	2	299	2	2	2	1	4	TypeXIIIC_Mx162	0	0	0	0.97838	Q1	1.389174	1.408427	1.399258	1.383453	1.409794	-0.024974	-0.015805	-0.026341	0.001367	0.020017	2	0.034266	2	-0.018565	2	0.005641	2
CMP00364	2	262	2	2	1	1	0	TypeIC1_IC2	0	1	0	0.992622	Q4	1.439106	1.356701	1.398864	1.390484	1.377365	0.033783	-0.00838	0.013119	0.020664	0.033925	2	0.045508	2	-0.003418	2	0.001414	2
CMP00365	2	259	2	2	1	1	1	OutgroupA	0	0	1	0.988237	Q3	1.47451	1.402816	1.392454	1.388726	1.395643	-0.01409	-0.003728	-0.006917	-0.007173	0.024349	2	0.008495	2	-0.002054	2	-0.00056	2
CMP00366	2	191	2	2	1	1	2	TypeIV	1	1	0	0.990224	Q3	1.464484	1.425081	1.453971	1.444259	1.478746	0.019178	-0.009712	-0.034487	0.053665		0		0	0.015155	2	0.009955	2
CMP00367	2	262	2	2	1	1	3	OutgroupA	1	1	0	0.9879	Q3	1.249896	1.23794	1.204691	1.15873	1.184015	-0.07921	-0.045961	-0.025285	-0.053925	0.01004	2	-0.003972	2	-0.006374	2	0.002219	2
CMP00368	2	260	2	1	1	1	4	TypeIC1_IC2	1	1	1	0.993382	Q4	1.374529	1.341387	1.363465	1.338282	1.297569	-0.003105	-0.025183	0.040713	-0.043818	0.015814	2	0.00092	2	0.0045	2		0
CMP00369	2	270	2	2	1	1	0	OutgroupA	0	1	0	0.989632	Q2	1.356668	1.258631	1.307319	1.300339	1.28329	0.041708	-0.00698	0.017049	0.024659	0.011998	2	0.019092	2	0.003097	2	0.000123	2
