component_id	n_pairs	n_tok	n_distinct_rt	n_distinct_ncrna	n_retron_types	n_rt_homolog_groups	cv_fold	dominant_retron_type	any_T4	any_T3	in_sensitivity_population	mean_nearest_train_rt_cosine	relatedness_stratum	nll_per_nt_U	nll_per_nt_T	nll_per_nt_G	nll_per_nt_R	nll_per_nt_P	delta_R_minus_T	delta_R_minus_G	delta_R_minus_P	delta_P_minus_T	delta_logP_C1	n_pairs_C1	delta_logP_C2	n_pairs_C2	delta_logP_C3	n_pairs_C3	delta_logP_C4	n_pairs_C4
CMP00023	148	34197	142	77	1	4	4	TypeXIIIB_Ne144	1	1	0	0.991953	Q4	1.409646	1.415364	1.388937	1.38489	1.378097	-0.030474	-0.004047	0.006793	-0.037267	0.065853	148	0.051907	147	-0.000432	148	0.002128	146
CMP00024	144	24181	141	105	1	7	3	TypeIA_IIAI	0	0	0	0.98961	Q3	1.453436	1.407291	1.389291	1.388041	1.377244	-0.01925	-0.00125	0.010797	-0.030047	0.005423	144	0.001011	144	0.000377	144	0.002023	142
CMP00025	141	25874	135	71	1	10	1	TypeIIA3_firmi	1	1	1	0.985446	Q2	1.38587	1.381141	1.386999	1.373368	1.409187	-0.007773	-0.013631	-0.035819	0.028046	-0.000958	141	-0.00169	123	-0.000588	141	0.000695	136
CMP00026	129	28744	129	84	1	5	2	TypeXIIIB_Ne144	1	1	0	0.985985	Q2	1.425954	1.36657	1.362002	1.373426	1.346609	0.006856	0.011424	0.026817	-0.019961	0.045888	129	0.031229	124	0.001464	129	0.013412	127
CMP00027	128	16734	128	113	1	4	4	OutgroupA	1	1	0	0.987246	Q3	1.344962	1.237679	1.25621	1.214704	1.150585	-0.022975	-0.041506	0.064119	-0.087094	0.00849	128	0.0037	123	-0.004265	128	0.003091	127
CMP00028	124	16720	118	100	2	9	3	TypeIB1	1	1	0	0.989776	Q3	1.410581	1.440539	1.391844	1.384149	1.428644	-0.05639	-0.007695	-0.044495	-0.011895	0.009045	124	0.006426	113	-0.000779	124	0.000328	117
CMP00029	124	18802	119	37	1	6	1	TypeIB1	1	1	0	0.991846	Q4	1.390489	1.4042	1.395996	1.39494	1.389068	-0.00926	-0.001056	0.005872	-0.015132	0.001107	124	0.000987	97	4e-05	124	0.000332	122
CMP00030	121	26782	121	108	2	7	2	TypeXIIIB_Ne144	1	1	0	0.987626	Q3	1.391698	1.378741	1.333424	1.341632	1.341117	-0.037109	0.008208	0.000515	-0.037624	0.043428	120	0.0159	112	0.001755	121	0.002895	117
CMP00031	115	17478	102	64	1	7	4	TypeIB1	1	1	0	0.99189	Q4	1.418379	1.380024	1.372063	1.356585	1.425234	-0.023439	-0.015478	-0.068649	0.04521	0.013407	115	0.012232	99	-0.001662	115	0.002588	114
CMP00032	109	16514	105	93	1	3	3	TypeIB1	1	1	0	0.989664	Q3	1.434314	1.41324	1.412009	1.398878	1.38748	-0.014362	-0.013131	0.011398	-0.02576	0.014581	109	0.013853	106	0.000617	109	0.005818	107
