set_id	cohort	stratum	rt50	n_members	type_label	n_type_labels	n_phyla	win_from	win_to	note
PIL_S12_HOMOLOG_HAS_CM_5	PIL	PIL_S12_HOMOLOG_HAS_CM	115ec50ab90f1b5a25ef96d8f1c3be500e63433c7625c5616d89b9e6b9137405	13	XIII	1	2	-300	-1	
PIL_S12_ORPHAN_1	PIL	PIL_S12_ORPHAN	f875b1a5f032dff00d1fd9416d6244592757e69f7032d1758736f1f275ff86fd	5	III-A	1	2	-300	-1	
PIL_S12_ORPHAN_2	PIL	PIL_S12_ORPHAN	0d11472d1dc8794444f044b84cb82a46eb5026c890c989cdb9675bb08870c085	9	II-A	1	2	-300	-1	
PIL_S12_ORPHAN_3	PIL	PIL_S12_ORPHAN	dcc11e839d29f58015fec8d579b661bb73f65226142589d82ccccfdaa4190c7d	22	VII-A2	1	2	-300	-1	
PIL_S12_ORPHAN_4	PIL	PIL_S12_ORPHAN	7ee4c12a845b3187374c18fd6d8608ebde8ecfeb73235993cef0b952ffd5b493	8	IV	1	2	-300	-1	
PIL_S12_ORPHAN_5	PIL	PIL_S12_ORPHAN	e85a86deb9c27d67d55a48ceada6e4702eeaa1ed0a6edba9799e40977bcea34c	20	X	1	2	-300	-1	
PIL_S3_FUSED_1	PIL	PIL_S3_FUSED	c38c5421566fe3fcbb17d7a5320b1e0ea6cf9543fcfc15c71b4d5b9cd7e1d05c	33	VII-A1	1	2	-300	-1	
PIL_S3_FUSED_2	PIL	PIL_S3_FUSED	aa1ef034294e387b57565e9b899479cc160e1aa3ea039e0e6d04f73e12f4558f	10	XI	1	2	-300	-1	
PIL_S3_FUSED_3	PIL	PIL_S3_FUSED	375d87d808af197bd7089dfee6aa34442e8905d958908825bf0996fb4e20cf5d	7	XII	1	2	-300	-1	
PIL_S3_FUSED_4	PIL	PIL_S3_FUSED	a6f15dab5abadb3d49610a9e172c2d9f846848abe6b189137efbaa04c694d530	18	I-C	1	2	-300	-1	
PIL_S3_FUSED_5	PIL	PIL_S3_FUSED	66828ff8eba0e0f784555fd13d58238fddcaed040dadedbff63bc4d0b2fb4261	6	VII-A1	1	1	-300	-1	
PIL_S5_SEQONLY_1	PIL	PIL_S5_SEQONLY	375d87d808af197bd7089dfee6aa34442e8905d958908825bf0996fb4e20cf5d	5	UNLABELLED	1	1	-300	-1	
PIL_S5_SEQONLY_2	PIL	PIL_S5_SEQONLY	c4e13606ba0cfd3bae121a1048200ddcd41afb354d64d8182ba815132841c3a1	5	UNLABELLED	1	1	-300	-1	
PIL_S5_SEQONLY_3	PIL	PIL_S5_SEQONLY	b7989ce79983e2ae50ea1234ee2ff55b74a3c3835ccd7bf86127f451d2af31a0	6	UNLABELLED	1	2	-300	-1	
PIL_S5_SEQONLY_4	PIL	PIL_S5_SEQONLY	8b3e3523004b5c36d324624b2de72e81f402fcec756c00c6f693c3b84cfd4539	5	UNLABELLED	1	1	-300	-1	
PIL_S5_SEQONLY_5	PIL	PIL_S5_SEQONLY	72e8be411bb04bad4c227f4b09159e9278285891dff98001f307c59fe5c4808f	7	UNLABELLED	1	2	-300	-1	
CTRL_NONRETRON_RVT-AbiK_1	CTRL_NONRETRON	RVT-AbiK	96d0f7d4e75f5ac6f4b7ab8467d4f70c1eda5fb1ff06cb8c877b8360ca338855	6	RVT-AbiK	1	2	-300	-1	
CTRL_NONRETRON_RVT-AbiK_2	CTRL_NONRETRON	RVT-AbiK	06f64cff0465b0f6f529276140aea992bf33a28748e5bab4866ea844e5d0e784	6	RVT-AbiK	1	2	-300	-1	
CTRL_NONRETRON_RVT-AbiP2_1	CTRL_NONRETRON	RVT-AbiP2	13da67d8dacd0d520894d087aca7a676d51f2781909ad4667e3b85d1db244781	5	RVT-AbiP2	1	1	-300	-1	
CTRL_NONRETRON_RVT-AbiP2_2	CTRL_NONRETRON	RVT-AbiP2	b48f7da0c1ecf155911855c8ce7a6431b11bb9760c2c18eabef182c319a5ab68	5	RVT-AbiP2	1	2	-300	-1	
