family_A	via_B	family_C	n_testable_positions	n_consistent_within_2	pct_transitively_consistent
UG5	UG3	GII	115	103	89.6
UG5	UG3	DGRs	107	97	90.7
UG5	UG3	CRISPR	110	91	82.7
UG5	UG3	AbiA	103	80	77.7
UG5	AbiA	Retrons	81	76	93.8
UG5	AbiA	GII	88	60	68.2
UG5	AbiA	DGRs	80	65	81.2
UG5	AbiA	CRISPR	83	63	75.9
UG5	AbiA	UG3	91	82	90.1
AbiA	Retrons	GII	170	129	75.9
AbiA	Retrons	DGRs	112	106	94.6
AbiA	Retrons	CRISPR	157	135	86.0
AbiA	Retrons	UG3	145	143	98.6
AbiA	Retrons	UG5	86	76	88.4
AbiA	GII	Retrons	161	130	80.7
AbiA	GII	DGRs	115	110	95.7
AbiA	GII	CRISPR	177	152	85.9
AbiA	GII	UG3	144	128	88.9
AbiA	GII	UG5	96	63	65.6
AbiA	DGRs	Retrons	112	106	94.6
AbiA	DGRs	GII	125	110	88.0
AbiA	DGRs	CRISPR	130	124	95.4
AbiA	DGRs	UG3	114	114	100.0
AbiA	DGRs	UG5	90	66	73.3
AbiA	CRISPR	Retrons	159	136	85.5
AbiA	CRISPR	GII	178	152	85.4
AbiA	CRISPR	DGRs	128	122	95.3
AbiA	CRISPR	UG3	144	127	88.2
AbiA	CRISPR	UG5	95	63	66.3
AbiA	UG3	Retrons	145	139	95.9
AbiA	UG3	GII	157	128	81.5
AbiA	UG3	DGRs	116	113	97.4
AbiA	UG3	CRISPR	150	125	83.3
AbiA	UG3	UG5	95	84	88.4
AbiA	UG5	Retrons	80	75	93.8
AbiA	UG5	GII	89	61	68.5
AbiA	UG5	DGRs	80	66	82.5
AbiA	UG5	CRISPR	83	63	75.9
AbiA	UG5	UG3	93	83	89.2
