cohort	set_id	arm	expected_cov	observed_cov	avgid	n
CTRL_DISTAL	CTRL_DISTAL__POS_IX_3	B_SEQ_CACOFOLD	3.0	0	47.41	5
CTRL_DISTAL	CTRL_DISTAL__POS_IX_3	B_STRUCT_CACOFOLD	1.0	1	37.43	5
CTRL_DISTAL	CTRL_DISTAL__POS_V_1	A_SPIRE	12.1	12	17.38	31
CTRL_DISTAL	CTRL_DISTAL__POS_V_1	B_SEQ_CACOFOLD	63.6	0	29.93	31
CTRL_DISTAL	CTRL_DISTAL__POS_V_1	B_STRUCT_CACOFOLD	33.5	14	17.38	31
CTRL_DISTAL	CTRL_DISTAL__POS_V_2	A_SPIRE	9.8	12	16.29	18
CTRL_DISTAL	CTRL_DISTAL__POS_V_2	B_SEQ_CACOFOLD	49.4	0	26.65	18
CTRL_DISTAL	CTRL_DISTAL__POS_V_2	B_STRUCT_CACOFOLD	31.8	12	16.29	18
CTRL_DISTAL	CTRL_DISTAL__POS_V_3	A_SPIRE	14.0	15	16.52	18
CTRL_DISTAL	CTRL_DISTAL__POS_V_3	B_SEQ_CACOFOLD	35.1	0	24.07	18
CTRL_DISTAL	CTRL_DISTAL__POS_V_3	B_STRUCT_CACOFOLD	22.8	15	16.52	18
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_1	A_SPIRE	11.3	5	27.55	34
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_1	B_SEQ_CACOFOLD	40.0	0	44.86	34
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_1	B_STRUCT_CACOFOLD	39.2	6	27.55	34
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_2	A_SPIRE	9.9	5	31.63	39
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_2	B_SEQ_CACOFOLD	30.7	0	34.22	39
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_2	B_STRUCT_CACOFOLD	48.9	5	31.63	39
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_3	A_SPIRE	1.4	0	46.58	6
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_3	B_SEQ_CACOFOLD	1.9	0	55.37	6
