cohort	set_id	arm	expected_cov	observed_cov	avgid	n
POS	POS_II-A_1	B_STRUCT_CACOFOLD	8.6	2	42.77	15
POS	POS_II-A_2	A_SPIRE	1.8	1	60.77	7
POS	POS_II-A_2	B_SEQ_CACOFOLD	1.8	0	68.13	7
POS	POS_II-A_2	B_STRUCT_CACOFOLD	0.7	1	60.77	7
POS	POS_II-A_3	A_SPIRE	2.2	4	52.92	6
POS	POS_II-A_3	B_SEQ_CACOFOLD	1.9	0	60.98	6
POS	POS_II-A_3	B_STRUCT_CACOFOLD	1.7	5	52.92	6
POS	POS_III-A_1	A_SPIRE	4.4	1	60.97	12
POS	POS_III-A_1	B_SEQ_CACOFOLD	6.2	0	63.87	12
POS	POS_III-A_1	B_STRUCT_CACOFOLD	2.0	1	60.97	12
POS	POS_III-A_2	A_SPIRE	2.9	0	53.95	9
POS	POS_III-A_2	B_SEQ_CACOFOLD	4.6	1	60.02	9
POS	POS_III-A_2	B_STRUCT_CACOFOLD	3.6	0	53.95	9
POS	POS_III-A_3	A_SPIRE	4.6	0	70.78	19
POS	POS_III-A_3	B_SEQ_CACOFOLD	13.0	1	73.31	19
POS	POS_III-A_3	B_STRUCT_CACOFOLD	9.6	0	70.78	19
POS	POS_IV_1	A_SPIRE	27.7	28	31.77	40
POS	POS_IV_1	B_SEQ_CACOFOLD	43.3	6	47.42	40
POS	POS_IV_1	B_STRUCT_CACOFOLD	49.2	28	31.77	40
POS	POS_IV_2	A_SPIRE	1.6	0	65.7	7
POS	POS_IV_2	B_SEQ_CACOFOLD	2.4	0	64.09	7
POS	POS_IV_2	B_STRUCT_CACOFOLD	1.8	0	65.7	7
POS	POS_IV_3	A_SPIRE	1.2	2	53.86	5
POS	POS_IV_3	B_SEQ_CACOFOLD	1.3	0	53.7	5
POS	POS_IV_3	B_STRUCT_CACOFOLD	1.1	2	53.86	5
POS	POS_IX_1	A_SPIRE	3.0	0	42.31	6
POS	POS_IX_1	B_SEQ_CACOFOLD	2.0	0	43.53	6
POS	POS_IX_1	B_STRUCT_CACOFOLD	2.3	0	42.31	6
POS	POS_IX_2	A_SPIRE	2.6	1	35.17	6
POS	POS_IX_2	B_SEQ_CACOFOLD	1.4	0	44.82	6
POS	POS_IX_2	B_STRUCT_CACOFOLD	3.2	1	35.17	6
POS	POS_IX_3	A_SPIRE	1.4	0	51.24	5
POS	POS_IX_3	B_SEQ_CACOFOLD	1.3	3	63.37	5
POS	POS_IX_3	B_STRUCT_CACOFOLD	1.3	0	51.24	5
POS	POS_V_1	A_SPIRE	20.7	15	34.37	32
POS	POS_V_1	B_SEQ_CACOFOLD	45.9	0	43.91	32
POS	POS_V_1	B_STRUCT_CACOFOLD	36.6	15	34.37	32
POS	POS_V_2	A_SPIRE	19.2	7	44.91	19
POS	POS_V_2	B_SEQ_CACOFOLD	23.0	0	48.44	19
POS	POS_V_2	B_STRUCT_CACOFOLD	22.7	7	44.91	19
POS	POS_V_3	A_SPIRE	8.9	1	60.22	19
POS	POS_V_3	B_SEQ_CACOFOLD	18.4	0	62.47	19
POS	POS_V_3	B_STRUCT_CACOFOLD	1.1	1	60.22	19
POS	POS_XIII_1	A_SPIRE	22.6	24	45.14	36
POS	POS_XIII_1	B_SEQ_CACOFOLD	51.5	7	51.32	36
POS	POS_XIII_1	B_STRUCT_CACOFOLD	42.4	24	45.14	36
POS	POS_XIII_2	A_SPIRE	25.8	24	42.85	40
POS	POS_XIII_2	B_SEQ_CACOFOLD	56.9	1	50.95	40
POS	POS_XIII_2	B_STRUCT_CACOFOLD	53.2	25	42.85	40
POS	POS_XIII_3	A_SPIRE	3.0	8	53.35	6
POS	POS_XIII_3	B_SEQ_CACOFOLD	3.7	1	54.9	6
POS	POS_XIII_3	B_STRUCT_CACOFOLD	3.2	8	53.35	6
POS_S5	POS_S5_1	A_SPIRE	0.0	0	96.96	5
POS_S5	POS_S5_1	B_SEQ_CACOFOLD	0.0	0	99.57	5
POS_S5	POS_S5_1	B_STRUCT_CACOFOLD	0.0	1	96.96	5
POS_S5	POS_S5_2	A_SPIRE	2.1	0	47.53	6
POS_S5	POS_S5_2	B_SEQ_CACOFOLD	3.8	0	53.8	6
POS_S5	POS_S5_2	B_STRUCT_CACOFOLD	1.2	1	47.53	6
