taxonomy_system	tax_species	n_records	n_loci	n_exact_rt	n_genomes	pct_of_records	pct_of_loci	pct_of_exact_rt	records_per_exact_rt	unit	denominator
ncbi	Mannheimia_haemolytica	3991	3991	302	2355	0.1771	0.1771	0.0657	13.215	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	uncultured_Candidatus	3812	3812	3354	2373	0.1691	0.1691	0.7294	1.137	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
ncbi	Yersinia_enterocolitica	3809	3809	430	2668	0.169	0.169	0.0935	8.858	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Blautia_A_wexlerae_A	3233	3233	2107	1393	0.4281	0.4281	0.6473	1.534	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Bacteroides_xylanisolvens	3156	3156	906	733	0.4179	0.4179	0.2783	3.483	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Phocaeicola_vulgatus	3109	3109	877	1004	0.4117	0.4117	0.2694	3.545	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Parabacteroides_distasonis	3088	3088	967	1867	0.4089	0.4089	0.2971	3.193	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Prevotella_sp900557255	2892	2892	1567	1533	0.3829	0.3829	0.4814	1.846	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Enterococcus_faecalis	2880	2880	368	2041	0.3813	0.3813	0.1131	7.826	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Ruminococcus_D_bicirculans	2861	2861	791	2329	0.3788	0.3788	0.243	3.617	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Enterobacter_hormaechei_C	2662	2662	469	1707	0.3525	0.3525	0.1441	5.676	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Agathobacter_faecis	2604	2604	1345	1599	0.3448	0.3448	0.4132	1.936	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Bacillus_A_paranthracis	2516	2516	356	483	0.3331	0.3331	0.1094	7.067	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Staphylococcus_pseudintermedius	2502	2502	781	567	0.3313	0.3313	0.2399	3.204	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Bacteroides_cellulosilyticus	2408	2408	827	742	0.3188	0.3188	0.2541	2.912	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Bacteroides_stercoris	2318	2318	1129	1163	0.3069	0.3069	0.3469	2.053	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Streptococcus_agalactiae	2309	2309	370	964	0.3057	0.3057	0.1137	6.241	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Clostridioides_difficile	2285	2285	455	1582	0.3026	0.3026	0.1398	5.022	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Vibrio_cholerae	2219	2219	385	1888	0.2938	0.2938	0.1183	5.764	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Alistipes_putredinis	2096	2096	844	1523	0.2775	0.2775	0.2593	2.483	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Bacteroides_caccae	1950	1950	726	646	0.2582	0.2582	0.223	2.686	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Bacteroides_acidifaciens	1939	1939	447	390	0.2567	0.2567	0.1373	4.338	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Klebsiella_quasipneumoniae	1902	1902	538	984	0.2518	0.2518	0.1653	3.535	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Limnospira_fusiformis	1870	1870	442	44	0.2476	0.2476	0.1358	4.231	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	UBA11524_sp000437595	1826	1826	1296	1118	0.2418	0.2418	0.3982	1.409	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Burkholderia_cenocepacia	1821	1821	302	474	0.2411	0.2411	0.0928	6.03	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
gtdb	Limnospira_platensis	1710	1710	467	16	0.2264	0.2264	0.1435	3.662	records / loci / exact RTs	all records of that taxonomy system carrying that rank (top 40 by records)
